"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01341!!Estimate","ZCTA5 01341!!Margin of Error","ZCTA5 01341!!Percent","ZCTA5 01341!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","730","±91","730","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","444","±58","60.8%","±8.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","104","±28","14.2%","±3.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","55","±26","7.5%","±3.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±5.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","79","±36","10.8%","±4.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","3","±5","0.4%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","67","±36","9.2%","±4.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","37","±29","5.1%","±3.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","152","±76","20.8%","±8.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","32","±26","4.4%","±3.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","112","±73","15.3%","±8.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","72","±68","9.9%","±8.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","157","±34","21.5%","±4.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","343","±75","47.0%","±6.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.27","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.68","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,656","±172","1,656","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","730","±91","44.1%","±3.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","432","±60","26.1%","±3.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","54","±24","3.3%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","362","±84","21.9%","±3.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","36","±30","2.2%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","42","±28","2.5%","±1.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","694","±69","694","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","172","±44","24.8%","±5.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","449","±59","64.7%","±6.6"
"        Separated","37,600","±1,670","1.3%","±0.1","5","±7","0.7%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","8","±7","1.2%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","60","±30","8.6%","±4.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","736","±102","736","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","171","±75","23.2%","±8.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","467","±61","63.5%","±7.9"
"        Separated","55,256","±1,859","1.8%","±0.1","21","±23","2.9%","±3.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","33","±19","4.5%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","44","±27","6.0%","±3.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","14","±13","14","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±87.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±248","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","46","±42","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±573","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","165","±133","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±190","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","25","±22","25","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","9","±13","36.0%","±40.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±65.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±65.8"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±65.8"
"            5 or more years","13,647","±1,024","10.9%","±0.8","9","±13","36.0%","±40.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","9","±13","9","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","5","±7","55.6%","±26.1"
"        Who are married","19,550","±1,487","64.5%","±2.5","9","±13","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","273","±71","273","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","26","±14","9.5%","±5.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","14","±14","5.1%","±5.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","131","±47","48.0%","±8.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","70","±29","25.6%","±7.1"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","32","±14","11.7%","±5.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,320","±119","1,320","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","2","±4","0.2%","±0.3"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","29","±18","2.2%","±1.3"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","209","±46","15.8%","±3.5"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","149","±36","11.3%","±2.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","133","±54","10.1%","±3.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","335","±62","25.4%","±4.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","463","±106","35.1%","±6.5"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,289","±118","97.7%","±1.4"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","798","±120","60.5%","±6.2"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","1,357","±128","1,357","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","84","±29","6.2%","±2.2"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","1,658","±172","1,658","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","214","±63","12.9%","±3.7"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","301","±77","301","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","46","±40","15.3%","±10.9"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","873","±101","873","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","108","±38","12.4%","±3.9"
"    65 years and over","1,122,280","±664","1,122,280","(X)","484","±84","484","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","60","±30","12.4%","±6.5"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","1,647","±168","1,647","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","1,548","±180","94.0%","±3.5"
