"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01937!!Estimate","ZCTA5 01937!!Margin of Error","ZCTA5 01937!!Percent","ZCTA5 01937!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","0","±13","0","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","0","±13","-","**"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","0","±13","-","**"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","0","±13","-","**"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","-","**"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","0","±13","-","**"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","-","**"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","0","±13","-","**"
"                65 years and over","102,147","±2,741","3.8%","±0.1","0","±13","-","**"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","0","±13","-","**"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","-","**"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","0","±13","-","**"
"                65 years and over","221,896","±3,548","8.2%","±0.1","0","±13","-","**"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","0","±13","-","**"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","0","±13","-","**"
"        Average household size","2.48","±0.01","(X)","(X)","-","**","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","-","**","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","0","±13","0","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","0","±13","-","**"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","0","±13","-","**"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","0","±13","-","**"
"        Child","1,898,296","±5,188","28.1%","±0.1","0","±13","-","**"
"        Other relatives","394,812","±8,541","5.9%","±0.1","0","±13","-","**"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","-","**"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","169","±53","169","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","102","±75","60.4%","±38.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","18","±41","10.7%","±25.5"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±20.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±20.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","49","±51","29.0%","±30.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","8","±20","8","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","8","±20","100.0%","±100.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","0","±13","0.0%","±100.0"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±100.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","0","±13","0.0%","±100.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","0","±13","0.0%","±100.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±1,000","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±1,000","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","-","**","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","-","**","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±1,000","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±13","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","-","**"
