"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02115!!Estimate","ZCTA5 02115!!Margin of Error","ZCTA5 02115!!Percent","ZCTA5 02115!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,455","±621","9,455","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,118","±189","11.8%","±2.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","190","±90","2.0%","±1.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","603","±168","6.4%","±1.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","68","±72","0.7%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,061","±363","32.4%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","5","±9","0.1%","±0.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,289","±333","24.2%","±3.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","619","±204","6.5%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,673","±526","49.4%","±4.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","491","±198","5.2%","±2.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","3,067","±456","32.4%","±3.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","892","±221","9.4%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","789","±242","8.3%","±2.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,044","±270","21.6%","±2.9"
"        Average household size","2.48","±0.01","(X)","(X)","1.71","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.63","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","16,141","±1,230","16,141","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,455","±621","58.6%","±2.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,143","±199","7.1%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","613","±164","3.8%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,995","±497","12.4%","±2.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","241","±112","1.5%","±0.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","2,694","±598","16.7%","±3.1"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","13,402","±1,052","13,402","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","11,347","±1,009","84.7%","±2.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,416","±242","10.6%","±1.8"
"        Separated","37,600","±1,670","1.3%","±0.1","80","±65","0.6%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","187","±101","1.4%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","372","±160","2.8%","±1.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","13,935","±1,008","13,935","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","11,274","±1,018","80.9%","±2.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,243","±202","8.9%","±1.4"
"        Separated","55,256","±1,859","1.8%","±0.1","173","±102","1.2%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","612","±224","4.4%","±1.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","633","±199","4.5%","±1.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","108","±77","108","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","86","±67","79.6%","±30.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","8","±6","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","9","±7","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±10","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","16","±12","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","7","±10","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","47","±43","47","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","25","±38","53.2%","±48.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±48.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±48.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±48.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","25","±38","53.2%","±48.8"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","25","±38","25","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","14","±21","56.0%","±6.7"
"        Who are married","19,550","±1,487","64.5%","±2.5","25","±38","100.0%","±65.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","18,233","±1,572","18,233","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","113","±67","0.6%","±0.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","223","±134","1.2%","±0.7"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","523","±262","2.9%","±1.4"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","421","±152","2.3%","±0.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","16,953","±1,428","93.0%","±1.6"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","11,389","±951","11,389","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","532","±175","4.7%","±1.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","523","±164","4.6%","±1.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,573","±244","13.8%","±2.0"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,000","±278","8.8%","±2.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","430","±199","3.8%","±1.7"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","4,359","±726","38.3%","±4.1"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","2,972","±359","26.1%","±3.1"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","10,334","±919","90.7%","±2.2"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","7,331","±839","64.4%","±3.6"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","26,941","±1,616","26,941","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","326","±121","1.2%","±0.4"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","28,474","±1,767","28,474","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","2,601","±363","9.1%","±1.2"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,618","±461","1,618","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","204","±180","12.6%","±9.4"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","24,387","±1,602","24,387","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,410","±235","5.8%","±1.0"
"    65 years and over","1,122,280","±664","1,122,280","(X)","2,469","±316","2,469","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","987","±204","40.0%","±6.8"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","28,523","±1,762","28,523","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","18,035","±1,195","63.2%","±2.5"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","10,488","±1,064","36.8%","±2.5"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","8,839","±913","31.0%","±2.5"
"                Same county","446,141","±8,933","6.4%","±0.1","3,114","±577","10.9%","±1.9"
"                Different county","354,693","±6,215","5.1%","±0.1","5,725","±603","20.1%","±1.8"
"                    Same state","205,752","±5,091","3.0%","±0.1","1,859","±384","6.5%","±1.3"
"                    Different state","148,941","±3,990","2.2%","±0.1","3,866","±410","13.6%","±1.3"
"            Abroad","61,536","±2,941","0.9%","±0.1","1,649","±452","5.8%","±1.4"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","28,559","±1,762","28,559","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","20,934","±1,335","73.3%","±2.2"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","20,076","±1,299","70.3%","±2.1"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","7,978","±905","27.9%","±2.4"
"                Different state","1,398,292","±9,460","20.0%","±0.1","12,098","±883","42.4%","±2.5"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","858","±194","3.0%","±0.7"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","7,625","±838","26.7%","±2.2"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","7,625","±838","7,625","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","2,518","±345","33.0%","±4.3"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","5,107","±744","67.0%","±4.3"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","8,483","±849","8,483","(X)"
"        Native","209,292","±4,176","209,292","(X)","858","±194","858","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","288","±106","33.6%","±10.7"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","570","±166","66.4%","±10.7"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","7,625","±838","7,625","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","4,287","±681","56.2%","±5.5"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","3,338","±505","43.8%","±5.5"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","7,625","±838","7,625","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","1,221","±278","16.0%","±3.4"
"        Asia","372,717","±3,581","30.8%","±0.3","3,850","±486","50.5%","±5.2"
"        Africa","113,823","±3,313","9.4%","±0.3","415","±166","5.4%","±2.2"
"        Oceania","4,098","±490","0.3%","±0.1","52","±51","0.7%","±0.7"
"        Latin America","456,601","±7,328","37.7%","±0.5","1,798","±566","23.6%","±6.2"
"        Northern America","28,855","±1,370","2.4%","±0.1","289","±138","3.8%","±1.8"
