"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01611!!Estimate","ZCTA5 01611!!Margin of Error","ZCTA5 01611!!Percent","ZCTA5 01611!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","783","±156","783","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","492","±127","62.8%","±11.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","89","±38","11.4%","±5.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","47","±40","6.0%","±5.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","10","±16","1.3%","±2.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","111","±74","14.2%","±8.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±5.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","72","±66","9.2%","±7.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","5","±8","0.6%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","133","±68","17.0%","±7.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","26","±26","3.3%","±3.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","67","±47","8.6%","±5.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","67","±47","8.6%","±5.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","184","±66","23.5%","±9.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","192","±76","24.5%","±9.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.82","±0.29","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.16","±0.30","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,209","±404","2,209","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","783","±156","35.4%","±3.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","490","±124","22.2%","±4.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","50","±42","2.3%","±2.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","578","±167","26.2%","±5.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","277","±175","12.5%","±7.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","31","±38","1.4%","±1.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","971","±197","971","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","306","±113","31.5%","±9.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","602","±150","62.0%","±9.5"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±4.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","5","±8","0.5%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","58","±46","6.0%","±4.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","953","±239","953","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","272","±136","28.5%","±9.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","515","±127","54.0%","±9.8"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±4.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","60","±49","6.3%","±5.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","106","±67","11.1%","±6.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±127","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±79","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±311","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±168","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±212","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","40","±47","40","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","8","±14","20.0%","±29.6"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","8","±14","20.0%","±29.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±52.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±52.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±52.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","8","±14","8","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","8","±14","100.0%","±100.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","8","±14","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","492","±170","492","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","8","±13","1.6%","±2.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","61","±53","12.4%","±9.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","156","±68","31.7%","±11.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","122","±56","24.8%","±12.2"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","145","±116","29.5%","±17.8"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,536","±307","1,536","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","41","±46","2.7%","±3.0"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","130","±81","8.5%","±5.2"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","494","±155","32.2%","±6.5"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","359","±108","23.4%","±6.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","124","±56","8.1%","±3.3"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","273","±124","17.8%","±6.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","115","±96","7.5%","±5.8"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,365","±302","88.9%","±5.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","388","±154","25.3%","±7.5"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","1,891","±380","1,891","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","125","±56","6.6%","±2.9"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","2,209","±404","2,209","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","328","±144","14.8%","±5.7"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","318","±120","318","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","48","±43","15.1%","±12.9"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","1,648","±379","1,648","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","168","±112","10.2%","±5.5"
"    65 years and over","1,122,280","±664","1,122,280","(X)","243","±100","243","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","112","±63","46.1%","±22.6"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","2,209","±404","2,209","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","2,128","±388","96.3%","±2.7"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","81","±62","3.7%","±2.7"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","81","±62","3.7%","±2.7"
"                Same county","446,141","±8,933","6.4%","±0.1","81","±62","3.7%","±2.7"
"                Different county","354,693","±6,215","5.1%","±0.1","0","±13","0.0%","±1.8"
"                    Same state","205,752","±5,091","3.0%","±0.1","0","±13","0.0%","±1.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","0","±13","0.0%","±1.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±13","0.0%","±1.8"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","2,209","±404","2,209","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","2,097","±413","94.9%","±4.2"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","2,022","±431","91.5%","±5.9"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","1,918","±433","86.8%","±6.8"
"                Different state","1,398,292","±9,460","20.0%","±0.1","104","±72","4.7%","±3.3"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","75","±62","3.4%","±3.0"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","112","±91","5.1%","±4.2"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","112","±91","112","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","84","±66","75.0%","±21.7"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","28","±35","25.0%","±21.7"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","187","±125","187","(X)"
"        Native","209,292","±4,176","209,292","(X)","75","±62","75","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±13","0.0%","±38.0"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","75","±62","100.0%","±38.0"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","112","±91","112","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","35","±38","31.3%","±23.3"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","77","±65","68.8%","±23.3"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","112","±91","112","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","7","±11","6.3%","±11.3"
"        Asia","372,717","±3,581","30.8%","±0.3","1","±7","0.9%","±6.8"
"        Africa","113,823","±3,313","9.4%","±0.3","7","±14","6.3%","±14.0"
"        Oceania","4,098","±490","0.3%","±0.1","0","±13","0.0%","±29.2"
"        Latin America","456,601","±7,328","37.7%","±0.5","59","±69","52.7%","±40.6"
"        Northern America","28,855","±1,370","2.4%","±0.1","38","±48","33.9%","±35.0"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","2,173","±406","2,173","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","2,017","±421","92.8%","±4.6"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","156","±97","7.2%","±4.6"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","65","±49","3.0%","±2.3"
"        Spanish","623,189","±4,858","9.4%","±0.1","100","±80","4.6%","±3.8"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","28","±35","1.3%","±1.6"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","48","±63","2.2%","±2.9"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","29","±37","1.3%","±1.7"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","1","±7","0.0%","±0.3"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","1","±7","0.0%","±0.3"
"        Other languages","99,560","±3,943","1.5%","±0.1","7","±14","0.3%","±0.6"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","7","±14","0.3%","±0.6"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","2,209","±404","2,209","(X)"
"        American","260,364","±6,504","3.7%","±0.1","68","±76","3.1%","±3.4"
"        Arab","72,487","±3,641","1.0%","±0.1","64","±57","2.9%","±2.5"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±13","0.0%","±1.8"
"        Danish","14,346","±1,162","0.2%","±0.1","0","±13","0.0%","±1.8"
"        Dutch","34,354","±1,922","0.5%","±0.1","0","±13","0.0%","±1.8"
"        English","655,283","±8,406","9.4%","±0.1","195","±131","8.8%","±6.0"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","529","±255","23.9%","±9.3"
"        French Canadian","235,524","±4,384","3.4%","±0.1","146","±78","6.6%","±3.8"
"        German","387,135","±7,027","5.5%","±0.1","87","±63","3.9%","±2.8"
"        Greek","76,566","±3,218","1.1%","±0.1","21","±33","1.0%","±1.5"
"        Hungarian","19,068","±1,432","0.3%","±0.1","0","±13","0.0%","±1.8"
"        Irish","1,345,219","±11,619","19.2%","±0.2","378","±164","17.1%","±6.9"
"        Italian","815,794","±9,186","11.7%","±0.1","299","±131","13.5%","±4.9"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","24","±28","1.1%","±1.3"
"        Norwegian","35,032","±1,997","0.5%","±0.1","0","±13","0.0%","±1.8"
"        Polish","283,050","±4,814","4.0%","±0.1","217","±139","9.8%","±6.1"
"        Portuguese","270,183","±5,260","3.9%","±0.1","34","±50","1.5%","±2.2"
"        Russian","91,511","±3,161","1.3%","±0.1","0","±13","0.0%","±1.8"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","0","±13","0.0%","±1.8"
"        Scottish","134,503","±3,385","1.9%","±0.1","46","±56","2.1%","±2.4"
"        Slovak","7,069","±828","0.1%","±0.1","0","±13","0.0%","±1.8"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","0","±13","0.0%","±1.8"
"        Swedish","102,031","±2,873","1.5%","±0.1","166","±195","7.5%","±8.1"
"        Swiss","10,126","±912","0.1%","±0.1","0","±13","0.0%","±1.8"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","0","±13","0.0%","±1.8"
"        Welsh","23,388","±1,506","0.3%","±0.1","0","±13","0.0%","±1.8"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","4","±7","0.2%","±0.3"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","783","±156","783","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","770","±156","98.3%","±2.6"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","653","±132","83.4%","±10.4"
