"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01518!!Estimate","ZCTA5 01518!!Margin of Error","ZCTA5 01518!!Percent","ZCTA5 01518!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,280","±176","1,280","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","554","±148","43.3%","±11.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","203","±93","15.9%","±7.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","177","±129","13.8%","±9.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","132","±120","10.3%","±9.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","275","±142","21.5%","±10.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","46","±65","3.6%","±5.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","145","±81","11.3%","±6.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","40","±35","3.1%","±2.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","274","±145","21.4%","±10.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","70","±78","5.5%","±5.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","140","±120","10.9%","±9.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","21","±34","1.6%","±2.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","466","±152","36.4%","±10.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","290","±126","22.7%","±9.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.57","±0.26","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.89","±0.23","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,291","±473","3,291","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,280","±176","38.9%","±4.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","538","±143","16.3%","±4.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","178","±130","5.4%","±3.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,039","±249","31.6%","±5.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","248","±251","7.5%","±7.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","8","±12","0.2%","±0.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,272","±258","1,272","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","470","±165","36.9%","±9.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","637","±167","50.1%","±9.6"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±3.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","40","±35","3.1%","±2.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","125","±87","9.8%","±6.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,236","±196","1,236","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","266","±123","21.5%","±9.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","665","±159","53.8%","±11.9"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±3.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","65","±81","5.3%","±6.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","240","±151","19.4%","±11.5"
"FERTILITY","","","","","","","",""
