"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02130!!Estimate","ZCTA5 02130!!Margin of Error","ZCTA5 02130!!Percent","ZCTA5 02130!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","17,609","±689","17,609","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,782","±539","32.8%","±2.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,278","±252","12.9%","±1.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,835","±256","10.4%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","156","±96","0.9%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,338","±473","19.0%","±2.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","105","±70","0.6%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,489","±433","14.1%","±2.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","452","±186","2.6%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","6,654","±486","37.8%","±2.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","804","±182","4.6%","±1.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","3,547","±415","20.1%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,258","±321","7.1%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,622","±312","20.6%","±1.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,664","±418","20.8%","±2.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.25","±0.07","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.93","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","39,626","±1,744","39,626","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","17,609","±689","44.4%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,854","±490","14.8%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,885","±245","4.8%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,465","±828","21.4%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,237","±387","3.1%","±1.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","4,576","±768","11.5%","±1.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","15,885","±906","15,885","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","7,856","±697","49.5%","±3.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,362","±558","40.1%","±2.9"
"        Separated","37,600","±1,670","1.3%","±0.1","464","±273","2.9%","±1.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","259","±159","1.6%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","944","±222","5.9%","±1.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","19,163","±1,041","19,163","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","9,726","±801","50.8%","±3.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,535","±669","34.1%","±2.9"
"        Separated","55,256","±1,859","1.8%","±0.1","504","±190","2.6%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,046","±312","5.5%","±1.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,352","±219","7.1%","±1.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","705","±245","705","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","126","±87","17.9%","±12.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","15","±10","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","57","±19","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±61","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","57","±27","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","64","±27","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","215","±104","215","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","77","±54","35.8%","±23.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","12","±20","5.6%","±9.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±28","0.0%","±16.9"
"            3 or 4 years","5,630","±671","4.5%","±0.5","9","±14","4.2%","±7.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","56","±49","26.0%","±20.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","77","±54","77","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","77","±54","100.0%","±37.5"
"        Who are married","19,550","±1,487","64.5%","±2.5","20","±23","26.0%","±27.2"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","7,971","±815","7,971","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","617","±182","7.7%","±2.3"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","377","±123","4.7%","±1.6"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,423","±393","30.4%","±3.6"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,097","±331","13.8%","±3.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","3,457","±502","43.4%","±4.6"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","31,840","±1,502","31,840","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","1,325","±337","4.2%","±1.1"
