Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,18000,494,18000,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,12724,440,70.7,2.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,12705,442,70.6,2.3
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,11960,483,66.4,2.4
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,745,251,4.1,1.4
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,19,23,0.1,0.1
Estimate Employment Status Population 16 Years And Over Not In Labor Force,5276,480,29.3,2.3
Estimate Employment Status Civilian Labor Force,12705,442,12705,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),5.9,2.0
Estimate Employment Status Females 16 Years And Over,9551,391,9551,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,6256,403,65.5,3.3
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,6256,403,65.5,3.3
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,5758,367,60.3,3.3
Estimate Employment Status Own Children Of The Householder Under 6 Years,1418,290,1418,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,1084,277,76.4,7.5
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,4507,467,4507,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,3471,506,77.0,6.2
Estimate Commuting To Work Workers 16 Years And Over,11787,482,11787,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",7601,520,64.5,3.8
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",504,173,4.3,1.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),504,162,4.3,1.4
Estimate Commuting To Work Workers 16 Years And Over Walked,130,79,1.1,0.7
Estimate Commuting To Work Workers 16 Years And Over Other Means,56,37,0.5,0.3
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,2992,465,25.4,3.7
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),35.0,1.8,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,11960,483,11960,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",8745,649,73.1,3.6
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,905,299,7.6,2.6
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,1786,282,14.9,2.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",220,96,1.8,0.8
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",304,118,2.5,1.0
Estimate Industry Civilian Employed Population 16 Years And Over,11960,483,11960,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",45,42,0.4,0.3
Estimate Industry Civilian Employed Population 16 Years And Over Construction,326,94,2.7,0.8
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,1154,211,9.6,1.8
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,217,86,1.8,0.7
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,1002,268,8.4,2.2
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",192,116,1.6,1.0
Estimate Industry Civilian Employed Population 16 Years And Over Information,465,145,3.9,1.2
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",849,192,7.1,1.5
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",3439,432,28.8,3.5
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",3105,471,26.0,3.6
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",523,120,4.4,1.0
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",389,143,3.3,1.2
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,254,80,2.1,0.7
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,11960,483,11960,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,9683,474,81.0,2.5
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,1376,264,11.5,2.1
