Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,2958,492,2958,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,2133,420,72.1,7.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,2133,420,72.1,7.8
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,1988,370,67.2,7.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,145,123,4.9,3.9
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,13,0.0,1.3
Estimate Employment Status Population 16 Years And Over Not In Labor Force,825,274,27.9,7.8
Estimate Employment Status Civilian Labor Force,2133,420,2133,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),6.8,5.2
Estimate Employment Status Females 16 Years And Over,1565,246,1565,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,1024,231,65.4,10.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,1024,231,65.4,10.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,991,228,63.3,10.6
Estimate Employment Status Own Children Of The Householder Under 6 Years,187,87,187,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,171,89,91.4,13.5
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,476,157,476,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,476,157,100.0,8.1
Estimate Commuting To Work Workers 16 Years And Over,1988,370,1988,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",1833,367,92.2,4.8
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",75,68,3.8,3.4
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),42,68,2.1,3.4
Estimate Commuting To Work Workers 16 Years And Over Walked,0,13,0.0,2.0
Estimate Commuting To Work Workers 16 Years And Over Other Means,0,13,0.0,2.0
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,38,41,1.9,2.1
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),28.4,4.5,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,1988,370,1988,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",873,217,43.9,8.2
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,114,69,5.7,3.3
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,430,175,21.6,7.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",411,172,20.7,8.4
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",160,111,8.0,4.9
Estimate Industry Civilian Employed Population 16 Years And Over,1988,370,1988,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",0,13,0.0,2.0
Estimate Industry Civilian Employed Population 16 Years And Over Construction,199,96,10.0,4.8
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,248,157,12.5,8.0
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,55,45,2.8,2.2
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,225,113,11.3,4.7
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",97,86,4.9,4.2
Estimate Industry Civilian Employed Population 16 Years And Over Information,15,24,0.8,1.2
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",124,87,6.2,3.9
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",151,90,7.6,4.3
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",568,152,28.6,6.5
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",115,94,5.8,4.4
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",78,75,3.9,3.6
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,113,79,5.7,3.7
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,1988,370,1988,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,1544,355,77.7,9.5
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,309,138,15.5,6.1
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Self-Employed In Own Not Incorporated Business Workers,135,132,6.8,6.7
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Unpaid Family Workers,0,13,0.0,2.0
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households,1383,232,1383,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Less Than $10,000",0,13,0.0,2.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $10,000 To $14,999",0,13,0.0,2.8
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $15,000 To $24,999",121,105,8.7,7.2
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $25,000 To $34,999",148,127,10.7,8.7
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $35,000 To $49,999",73,50,5.3,3.7
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $50,000 To $74,999",208,114,15.0,7.2
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $75,000 To $99,999",161,100,11.6,7.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $100,000 To $149,999",302,138,21.8,10.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $150,000 To $199,999",173,83,12.5,6.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households $200,000 Or More",197,97,14.2,6.7
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Median Household Income (Dollars),97148,18577,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households Mean Household Income (Dollars),114167,16172,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings,1064,184,76.9,8.7
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Earnings Mean Earnings (Dollars),123475,19890,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security,405,146,29.3,8.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Social Security Mean Social Security Income (Dollars),19937,5648,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income,405,171,29.3,10.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Retirement Income Mean Retirement Income (Dollars),34090,19986,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income,27,31,2.0,2.3
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Supplemental Security Income Mean Supplemental Security Income (Dollars),-999999999,-999999999,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Cash Public Assistance Income,44,45,3.2,3.2
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Cash Public Assistance Income Mean Cash Public Assistance Income (Dollars),9016,10583,(X),(X)
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Total Households With Food Stamp/Snap Benefits In The Past 12 Months,13,21,0.9,1.6
Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families,1006,197,1006,(X)
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families Less Than $10,000",0,13,0.0,3.9
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $10,000 To $14,999",0,13,0.0,3.9
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $15,000 To $24,999",32,52,3.2,5.1
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $25,000 To $34,999",13,23,1.3,2.2
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $35,000 To $49,999",42,36,4.2,3.7
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $50,000 To $74,999",139,95,13.8,8.5
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $75,000 To $99,999",127,96,12.6,9.0
"Estimate Income And Benefits (In 2021 Inflation-Adjusted Dollars) Families $100,000 To $149,999",298,136,29.6,11.9
