Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,21310,967,21310,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,15758,981,73.9,2.9
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,15758,981,73.9,2.9
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,14450,912,67.8,3.5
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,1308,497,6.1,2.2
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,25,0.0,0.2
Estimate Employment Status Population 16 Years And Over Not In Labor Force,5552,649,26.1,2.9
Estimate Employment Status Civilian Labor Force,15758,981,15758,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),8.3,3.0
Estimate Employment Status Females 16 Years And Over,10595,665,10595,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,7308,604,69.0,4.0
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,7308,604,69.0,4.0
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,6689,591,63.1,4.4
Estimate Employment Status Own Children Of The Householder Under 6 Years,2088,497,2088,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,1716,436,82.2,10.4
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,4707,753,4707,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,3491,690,74.2,8.5
Estimate Commuting To Work Workers 16 Years And Over,14078,886,14078,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",9946,888,70.6,4.3
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",2154,457,15.3,3.0
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),569,254,4.0,1.8
Estimate Commuting To Work Workers 16 Years And Over Walked,612,270,4.3,1.9
Estimate Commuting To Work Workers 16 Years And Over Other Means,419,191,3.0,1.4
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,378,169,2.7,1.2
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),22.4,1.1,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,14450,912,14450,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",3364,509,23.3,3.3
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,3191,472,22.1,3.0
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,2343,430,16.2,2.9
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",1029,328,7.1,2.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",4523,760,31.3,4.5
Estimate Industry Civilian Employed Population 16 Years And Over,14450,912,14450,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",0,25,0.0,0.3
Estimate Industry Civilian Employed Population 16 Years And Over Construction,751,288,5.2,2.0
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,3050,532,21.1,3.3
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,243,132,1.7,0.9
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,1920,397,13.3,2.6
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",702,216,4.9,1.5
Estimate Industry Civilian Employed Population 16 Years And Over Information,53,54,0.4,0.4
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",603,179,4.2,1.2
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",1779,301,12.3,2.0
