Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,690,172,690,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,353,105,51.2,8.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,353,105,51.2,8.1
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,328,100,47.5,7.5
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,25,18,3.6,2.6
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,13,0.0,5.6
Estimate Employment Status Population 16 Years And Over Not In Labor Force,337,98,48.8,8.1
Estimate Employment Status Civilian Labor Force,353,105,353,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),7.1,4.9
Estimate Employment Status Females 16 Years And Over,353,83,353,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,136,43,38.5,13.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,136,43,38.5,13.2
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,111,34,31.4,10.8
Estimate Employment Status Own Children Of The Householder Under 6 Years,9,11,9,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,9,11,100.0,100.0
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,66,44,66,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,37,33,56.1,33.4
Estimate Commuting To Work Workers 16 Years And Over,323,102,323,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",266,92,82.4,9.2
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",0,13,0.0,11.6
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),4,5,1.2,1.6
Estimate Commuting To Work Workers 16 Years And Over Walked,3,6,0.9,2.0
Estimate Commuting To Work Workers 16 Years And Over Other Means,26,24,8.0,7.3
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,24,21,7.4,6.5
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),22.0,5.8,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,328,100,328,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",222,90,67.7,13.0
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,31,19,9.5,5.9
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,21,15,6.4,4.3
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",33,24,10.1,7.4
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",21,18,6.4,5.4
Estimate Industry Civilian Employed Population 16 Years And Over,328,100,328,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",0,13,0.0,11.5
Estimate Industry Civilian Employed Population 16 Years And Over Construction,37,25,11.3,7.6
