Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,27035,506,27035,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,19326,674,71.5,2.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,19326,674,71.5,2.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,18330,738,67.8,2.2
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,996,334,3.7,1.2
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,28,0.0,0.1
Estimate Employment Status Population 16 Years And Over Not In Labor Force,7709,532,28.5,2.0
Estimate Employment Status Civilian Labor Force,19326,674,19326,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),5.2,1.7
Estimate Employment Status Females 16 Years And Over,14033,449,14033,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,9430,535,67.2,2.9
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,9430,535,67.2,2.9
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,8877,577,63.3,3.3
Estimate Employment Status Own Children Of The Householder Under 6 Years,1711,317,1711,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,1154,280,67.4,11.0
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,5335,430,5335,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,4122,451,77.3,5.9
Estimate Commuting To Work Workers 16 Years And Over,17806,899,17806,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",12977,921,72.9,3.0
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",794,266,4.5,1.6
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),654,186,3.7,1.0
Estimate Commuting To Work Workers 16 Years And Over Walked,322,139,1.8,0.8
Estimate Commuting To Work Workers 16 Years And Over Other Means,152,95,0.9,0.5
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,2907,478,16.3,2.6
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),35.3,1.9,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,18330,738,18330,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",10451,702,57.0,2.9
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,2075,439,11.3,2.3
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,3825,476,20.9,2.6
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",1005,198,5.5,1.1
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",974,233,5.3,1.3
Estimate Industry Civilian Employed Population 16 Years And Over,18330,738,18330,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",100,108,0.5,0.6
Estimate Industry Civilian Employed Population 16 Years And Over Construction,1045,225,5.7,1.2
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,1652,335,9.0,1.9
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,661,267,3.6,1.4
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,2194,324,12.0,1.7
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",672,203,3.7,1.1
Estimate Industry Civilian Employed Population 16 Years And Over Information,484,184,2.6,1.0
