Label,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Employment Status Population 16 Years And Over,794,141,794,(X)
Estimate Employment Status Population 16 Years And Over In Labor Force,567,117,71.4,5.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force,567,117,71.4,5.0
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Employed,552,117,69.5,5.6
Estimate Employment Status Population 16 Years And Over In Labor Force Civilian Labor Force Unemployed,15,11,1.9,1.4
Estimate Employment Status Population 16 Years And Over In Labor Force Armed Forces,0,13,0.0,4.9
Estimate Employment Status Population 16 Years And Over Not In Labor Force,227,50,28.6,5.0
Estimate Employment Status Civilian Labor Force,567,117,567,(X)
Estimate Employment Status Civilian Labor Force Unemployment Rate,(X),(X),2.6,2.1
Estimate Employment Status Females 16 Years And Over,380,70,380,(X)
Estimate Employment Status Females 16 Years And Over In Labor Force,257,54,67.6,6.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force,257,54,67.6,6.6
Estimate Employment Status Females 16 Years And Over In Labor Force Civilian Labor Force Employed,244,55,64.2,7.8
Estimate Employment Status Own Children Of The Householder Under 6 Years,74,57,74,(X)
Estimate Employment Status Own Children Of The Householder Under 6 Years All Parents In Family In Labor Force,61,56,82.4,23.4
Estimate Employment Status Own Children Of The Householder 6 To 17 Years,91,40,91,(X)
Estimate Employment Status Own Children Of The Householder 6 To 17 Years All Parents In Family In Labor Force,69,34,75.8,18.6
Estimate Commuting To Work Workers 16 Years And Over,545,117,545,(X)
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Drove Alone",420,79,77.1,8.9
"Estimate Commuting To Work Workers 16 Years And Over Car, Truck, Or Van -- Carpooled",53,56,9.7,9.1
Estimate Commuting To Work Workers 16 Years And Over Public Transportation (Excluding Taxicab),0,13,0.0,7.1
Estimate Commuting To Work Workers 16 Years And Over Walked,0,13,0.0,7.1
Estimate Commuting To Work Workers 16 Years And Over Other Means,7,7,1.3,1.3
Estimate Commuting To Work Workers 16 Years And Over Worked From Home,65,34,11.9,5.2
Estimate Commuting To Work Workers 16 Years And Over Mean Travel Time To Work (Minutes),36.3,5.6,(X),(X)
Estimate Occupation Civilian Employed Population 16 Years And Over,552,117,552,(X)
"Estimate Occupation Civilian Employed Population 16 Years And Over Management, Business, Science, And Arts Occupations",252,75,45.7,9.0
Estimate Occupation Civilian Employed Population 16 Years And Over Service Occupations,73,39,13.2,6.3
Estimate Occupation Civilian Employed Population 16 Years And Over Sales And Office Occupations,82,22,14.9,4.4
"Estimate Occupation Civilian Employed Population 16 Years And Over Natural Resources, Construction, And Maintenance Occupations",89,59,16.1,9.0
"Estimate Occupation Civilian Employed Population 16 Years And Over Production, Transportation, And Material Moving Occupations",56,26,10.1,4.9
Estimate Industry Civilian Employed Population 16 Years And Over,552,117,552,(X)
"Estimate Industry Civilian Employed Population 16 Years And Over Agriculture, Forestry, Fishing And Hunting, And Mining",0,13,0.0,7.0
Estimate Industry Civilian Employed Population 16 Years And Over Construction,77,59,13.9,9.1
Estimate Industry Civilian Employed Population 16 Years And Over Manufacturing,43,18,7.8,3.2
Estimate Industry Civilian Employed Population 16 Years And Over Wholesale Trade,13,12,2.4,2.1
Estimate Industry Civilian Employed Population 16 Years And Over Retail Trade,52,21,9.4,4.1
"Estimate Industry Civilian Employed Population 16 Years And Over Transportation And Warehousing, And Utilities",45,24,8.2,4.4
Estimate Industry Civilian Employed Population 16 Years And Over Information,2,3,0.4,0.5
"Estimate Industry Civilian Employed Population 16 Years And Over Finance And Insurance, And Real Estate And Rental And Leasing",30,11,5.4,2.3
"Estimate Industry Civilian Employed Population 16 Years And Over Professional, Scientific, And Management, And Administrative And Waste Management Services",109,68,19.7,10.1
"Estimate Industry Civilian Employed Population 16 Years And Over Educational Services, And Health Care And Social Assistance",99,29,17.9,5.2
"Estimate Industry Civilian Employed Population 16 Years And Over Arts, Entertainment, And Recreation, And Accommodation And Food Services",35,27,6.3,4.6
"Estimate Industry Civilian Employed Population 16 Years And Over Other Services, Except Public Administration",36,20,6.5,3.5
Estimate Industry Civilian Employed Population 16 Years And Over Public Administration,11,8,2.0,1.4
Estimate Class Of Worker Civilian Employed Population 16 Years And Over,552,117,552,(X)
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Private Wage And Salary Workers,454,111,82.2,5.9
Estimate Class Of Worker Civilian Employed Population 16 Years And Over Government Workers,41,22,7.4,4.0
