,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,17896,672,17896,(X)
Estimate Households By Type Total Households Married-Couple Household,7965,463,44.5,3.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,3221,368,18.0,2.3
Estimate Households By Type Total Households Cohabiting Couple Household,1385,282,7.7,1.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,314,154,1.8,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3595,507,20.1,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",264,135,1.5,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",2436,458,13.6,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",668,279,3.7,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4951,749,27.7,3.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1030,318,5.8,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",3028,672,16.9,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1795,595,10.0,3.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,5265,451,29.4,3.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,5620,660,31.4,3.0
Estimate Households By Type Total Households Average Household Size,2.41,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.06,0.10,(X),(X)
Estimate Relationship Population In Households,43116,137,43116,(X)
Estimate Relationship Population In Households Householder,17896,672,41.5,1.5
Estimate Relationship Population In Households Spouse,7882,468,18.3,1.1
Estimate Relationship Population In Households Unmarried Partner,1396,292,3.2,0.7
Estimate Relationship Population In Households Child,12105,880,28.1,2.0
Estimate Relationship Population In Households Other Relatives,2850,660,6.6,1.5
Estimate Relationship Population In Households Other Nonrelatives,987,289,2.3,0.7
Estimate Marital Status Males 15 Years And Over,17848,815,17848,(X)
Estimate Marital Status Males 15 Years And Over Never Married,6602,702,37.0,2.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",8535,513,47.8,2.9
Estimate Marital Status Males 15 Years And Over Separated,336,167,1.9,0.9
Estimate Marital Status Males 15 Years And Over Widowed,425,170,2.4,0.9
Estimate Marital Status Males 15 Years And Over Divorced,1950,328,10.9,1.9
Estimate Marital Status Females 15 Years And Over,18074,692,18074,(X)
Estimate Marital Status Females 15 Years And Over Never Married,4670,630,25.8,3.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",8590,537,47.5,3.6
Estimate Marital Status Females 15 Years And Over Separated,178,93,1.0,0.5
