,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,10213,547,10213,(X)
Estimate Households By Type Total Households Married-Couple Household,2912,367,28.5,3.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1332,282,13.0,2.8
Estimate Households By Type Total Households Cohabiting Couple Household,855,311,8.4,3.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,346,167,3.4,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2066,413,20.2,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",358,272,3.5,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1199,306,11.7,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",392,166,3.8,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4380,573,42.9,4.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",994,255,9.7,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2063,447,20.2,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",555,205,5.4,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3403,450,33.3,4.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2072,273,20.3,2.8
Estimate Households By Type Total Households Average Household Size,2.56,0.14,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.29,0.19,(X),(X)
Estimate Relationship Population In Households,26173,1796,26173,(X)
Estimate Relationship Population In Households Householder,10213,547,39.0,2.1
Estimate Relationship Population In Households Spouse,2991,398,11.4,1.5
Estimate Relationship Population In Households Unmarried Partner,816,283,3.1,1.0
Estimate Relationship Population In Households Child,8979,1175,34.3,2.9
Estimate Relationship Population In Households Other Relatives,1799,435,6.9,1.6
Estimate Relationship Population In Households Other Nonrelatives,1375,493,5.3,1.8
Estimate Marital Status Males 15 Years And Over,9333,729,9333,(X)
Estimate Marital Status Males 15 Years And Over Never Married,4554,651,48.8,5.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3421,474,36.7,4.9
Estimate Marital Status Males 15 Years And Over Separated,205,126,2.2,1.4
Estimate Marital Status Males 15 Years And Over Widowed,160,100,1.7,1.1
Estimate Marital Status Males 15 Years And Over Divorced,993,326,10.6,3.3
Estimate Marital Status Females 15 Years And Over,11324,915,11324,(X)
Estimate Marital Status Females 15 Years And Over Never Married,5448,821,48.1,5.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3312,403,29.2,3.9
Estimate Marital Status Females 15 Years And Over Separated,302,166,2.7,1.5
Estimate Marital Status Females 15 Years And Over Widowed,627,262,5.5,2.3
Estimate Marital Status Females 15 Years And Over Divorced,1635,404,14.4,3.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,433,177,433,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",219,130,50.6,20.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",41,24,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",59,24,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,38,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",109,53,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",23,20,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,659,240,659,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,287,186,43.6,22.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,102,119,15.5,17.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,76,85,11.5,12.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,32,50,4.9,8.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,77,78,11.7,11.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,287,186,287,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,133,96,46.3,14.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,222,169,77.4,24.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School,6199,869,6199,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",355,180,5.7,2.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,286,124,4.6,2.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2961,632,47.8,5.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1279,322,20.6,4.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1318,356,21.3,5.8
Estimate Educational Attainment Population 25 Years And Over,16849,1084,16849,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,1667,399,9.9,2.3
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",1886,390,11.2,2.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),5448,822,32.3,4.1
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",3149,680,18.7,3.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1286,387,7.6,2.4
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1959,406,11.6,2.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1454,403,8.6,2.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,13296,1047,78.9,3.1
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,3413,578,20.3,3.4
Estimate Veteran Status Civilian Population 18 Years And Over,19408,1172,19408,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,754,274,3.9,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,26214,1804,26214,(X)
