,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8242,398,8242,(X)
Estimate Households By Type Total Households Married-Couple Household,3246,290,39.4,4.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1186,182,14.4,2.5
Estimate Households By Type Total Households Cohabiting Couple Household,571,158,6.9,1.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,70,65,0.8,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1680,331,20.4,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",136,107,1.7,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1177,278,14.3,3.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",441,151,5.4,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2745,425,33.3,4.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",239,142,2.9,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1773,395,21.5,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",983,244,11.9,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1805,187,21.9,2.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2931,329,35.6,3.6
Estimate Households By Type Total Households Average Household Size,2.30,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.08,0.12,(X),(X)
Estimate Relationship Population In Households,18997,74,18997,(X)
Estimate Relationship Population In Households Householder,8242,398,43.4,2.1
Estimate Relationship Population In Households Spouse,3255,300,17.1,1.6
Estimate Relationship Population In Households Unmarried Partner,569,148,3.0,0.8
Estimate Relationship Population In Households Child,4834,424,25.4,2.2
Estimate Relationship Population In Households Other Relatives,1383,356,7.3,1.9
Estimate Relationship Population In Households Other Nonrelatives,714,222,3.8,1.2
Estimate Marital Status Males 15 Years And Over,8030,358,8030,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2998,389,37.3,4.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3734,312,46.5,4.3
Estimate Marital Status Males 15 Years And Over Separated,122,63,1.5,0.8
Estimate Marital Status Males 15 Years And Over Widowed,318,149,4.0,1.8
Estimate Marital Status Males 15 Years And Over Divorced,858,216,10.7,2.6
Estimate Marital Status Females 15 Years And Over,8480,399,8480,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2508,375,29.6,3.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3504,292,41.3,4.2
Estimate Marital Status Females 15 Years And Over Separated,50,38,0.6,0.4
Estimate Marital Status Females 15 Years And Over Widowed,996,301,11.7,3.4
Estimate Marital Status Females 15 Years And Over Divorced,1422,281,16.8,3.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,235,114,235,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",35,33,14.9,15.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",13,12,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",54,27,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,104,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",75,46,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",47,37,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,213,89,213,(X)
