,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1945,238,1945,(X)
Estimate Households By Type Total Households Married-Couple Household,277,118,14.2,6.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,136,80,7.0,4.0
Estimate Households By Type Total Households Cohabiting Couple Household,315,103,16.2,5.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,71,62,3.7,3.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",710,200,36.5,9.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",152,156,7.8,7.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",466,129,24.0,7.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",27,32,1.4,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",643,185,33.1,7.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",233,137,12.0,6.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",300,107,15.4,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,612,229,31.5,9.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,125,70,6.4,3.8
Estimate Households By Type Total Households Average Household Size,2.38,0.25,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.30,0.53,(X),(X)
Estimate Relationship Population In Households,4635,864,4635,(X)
Estimate Relationship Population In Households Householder,1945,238,42.0,4.5
Estimate Relationship Population In Households Spouse,262,108,5.7,2.4
Estimate Relationship Population In Households Unmarried Partner,361,120,7.8,2.8
Estimate Relationship Population In Households Child,1456,548,31.4,7.4
Estimate Relationship Population In Households Other Relatives,114,81,2.5,1.7
Estimate Relationship Population In Households Other Nonrelatives,497,228,10.7,4.3
Estimate Marital Status Males 15 Years And Over,1747,299,1747,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1294,299,74.1,8.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",331,120,18.9,7.0
Estimate Marital Status Males 15 Years And Over Separated,32,36,1.8,2.0
Estimate Marital Status Males 15 Years And Over Widowed,0,13,0.0,2.3
Estimate Marital Status Males 15 Years And Over Divorced,90,57,5.2,3.4
Estimate Marital Status Females 15 Years And Over,1778,320,1778,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1066,245,60.0,9.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",364,128,20.5,6.8
Estimate Marital Status Females 15 Years And Over Separated,104,96,5.8,5.3
Estimate Marital Status Females 15 Years And Over Widowed,46,57,2.6,3.1
Estimate Marital Status Females 15 Years And Over Divorced,198,109,11.1,5.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,119,89,119,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",80,73,67.2,34.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",76,68,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",86,64,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,411,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",108,87,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",39,61,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,71,66,71,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,13,22,18.3,33.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,13,22,18.3,33.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,39.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,39.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,0.0,39.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,13,22,13,(X)
