,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8149,327,8149,(X)
Estimate Households By Type Total Households Married-Couple Household,5145,271,63.1,3.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2838,204,34.8,2.9
Estimate Households By Type Total Households Cohabiting Couple Household,344,171,4.2,2.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,124,84,1.5,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",638,178,7.8,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",62,55,0.8,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",453,139,5.6,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",233,104,2.9,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2022,277,24.8,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",296,130,3.6,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1382,286,17.0,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",981,244,12.0,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3383,191,41.5,2.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2792,275,34.3,2.6
Estimate Households By Type Total Households Average Household Size,2.77,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.33,0.11,(X),(X)
Estimate Relationship Population In Households,22574,141,22574,(X)
Estimate Relationship Population In Households Householder,8149,327,36.1,1.4
Estimate Relationship Population In Households Spouse,5140,262,22.8,1.2
Estimate Relationship Population In Households Unmarried Partner,338,162,1.5,0.7
Estimate Relationship Population In Households Child,7977,383,35.3,1.7
Estimate Relationship Population In Households Other Relatives,824,244,3.7,1.1
Estimate Relationship Population In Households Other Nonrelatives,146,86,0.6,0.4
Estimate Marital Status Males 15 Years And Over,8184,367,8184,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2115,390,25.8,4.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5510,297,67.3,4.0
Estimate Marital Status Males 15 Years And Over Separated,71,52,0.9,0.6
Estimate Marital Status Males 15 Years And Over Widowed,121,67,1.5,0.8
Estimate Marital Status Males 15 Years And Over Divorced,367,135,4.5,1.7
Estimate Marital Status Females 15 Years And Over,9560,412,9560,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2168,329,22.7,2.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5433,256,56.8,3.8
Estimate Marital Status Females 15 Years And Over Separated,30,35,0.3,0.4
Estimate Marital Status Females 15 Years And Over Widowed,974,220,10.2,2.1
Estimate Marital Status Females 15 Years And Over Divorced,955,279,10.0,2.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,194,101,194,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",23,36,11.9,17.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",11,17,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",40,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,52,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",43,34,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",48,32,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,370,118,370,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,85,67,23.0,14.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,10.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,25,0.0,10.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,25,0.0,10.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,85,67,23.0,14.8
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,85,67,85,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,64,54,75.3,19.8
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,72,64,84.7,25.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School,6812,318,6812,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",875,263,12.8,3.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,378,109,5.5,1.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2835,302,41.6,4.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1605,223,23.6,3.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1119,199,16.4,2.7
Estimate Educational Attainment Population 25 Years And Over,15395,357,15395,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,187,92,1.2,0.6
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",195,174,1.3,1.1
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1623,286,10.5,1.8
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1299,259,8.4,1.7
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,473,128,3.1,0.8
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,4253,450,27.6,2.6
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,7365,452,47.8,3.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,15013,354,97.5,1.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,11618,466,75.5,2.9
Estimate Veteran Status Civilian Population 18 Years And Over,16544,343,16544,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,680,194,4.1,1.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,22590,142,22590,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1639,268,7.3,1.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,6331,342,6331,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,134,74,2.1,1.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,12511,381,12511,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,421,123,3.4,1.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3748,357,3748,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,1084,263,28.9,6.0
Estimate Residence 1 Year Ago Population 1 Year And Over,22705,113,22705,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,20936,463,92.2,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),1769,467,7.8,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,1561,450,6.9,2.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,967,364,4.3,1.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,594,271,2.6,1.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,86,55,0.4,0.2
