,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,403,68,403,(X)
Estimate Households By Type Total Households Married-Couple Household,58,30,14.4,6.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,17,15,4.2,3.5
Estimate Households By Type Total Households Cohabiting Couple Household,26,22,6.5,5.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,9.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",184,46,45.7,9.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,9.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",91,45,22.6,10.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,9.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",135,50,33.5,10.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,9.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",69,33,17.1,8.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,9.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,17,15,4.2,3.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,0,13,0.0,9.4
Estimate Households By Type Total Households Average Household Size,1.98,0.23,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.50,0.52,(X),(X)
Estimate Relationship Population In Households,796,153,796,(X)
Estimate Relationship Population In Households Householder,403,68,50.6,5.9
Estimate Relationship Population In Households Spouse,55,29,6.9,3.2
Estimate Relationship Population In Households Unmarried Partner,25,22,3.1,2.9
Estimate Relationship Population In Households Child,32,29,4.0,3.3
Estimate Relationship Population In Households Other Relatives,0,13,0.0,4.9
Estimate Relationship Population In Households Other Nonrelatives,281,86,35.3,6.7
Estimate Marital Status Males 15 Years And Over,1252,304,1252,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1017,200,81.2,12.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",235,191,18.8,12.2
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,3.1
Estimate Marital Status Males 15 Years And Over Widowed,0,13,0.0,3.1
Estimate Marital Status Males 15 Years And Over Divorced,0,13,0.0,3.1
Estimate Marital Status Females 15 Years And Over,914,188,914,(X)
Estimate Marital Status Females 15 Years And Over Never Married,819,183,89.6,5.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",95,47,10.4,5.1
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,4.3
Estimate Marital Status Females 15 Years And Over Widowed,0,13,0.0,4.3
Estimate Marital Status Females 15 Years And Over Divorced,0,13,0.0,4.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,13,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,-666666666.0,-222222222.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,48,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",0,43,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,140,(X),(X)
