,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,11010,594,11010,(X)
Estimate Households By Type Total Households Married-Couple Household,3923,424,35.6,3.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1481,279,13.5,2.6
Estimate Households By Type Total Households Cohabiting Couple Household,769,212,7.0,1.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,446,171,4.1,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2651,426,24.1,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",214,109,1.9,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1963,348,17.8,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",555,184,5.0,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3667,527,33.3,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",985,267,8.9,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1914,352,17.4,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1050,225,9.5,1.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3432,296,31.2,3.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3386,350,30.8,2.7
Estimate Households By Type Total Households Average Household Size,2.44,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.12,0.16,(X),(X)
Estimate Relationship Population In Households,26823,1368,26823,(X)
Estimate Relationship Population In Households Householder,11010,594,41.0,2.0
Estimate Relationship Population In Households Spouse,3960,417,14.8,1.4
Estimate Relationship Population In Households Unmarried Partner,888,248,3.3,0.9
Estimate Relationship Population In Households Child,8503,824,31.7,2.4
Estimate Relationship Population In Households Other Relatives,1869,606,7.0,2.1
Estimate Relationship Population In Households Other Nonrelatives,593,263,2.2,1.0
Estimate Marital Status Males 15 Years And Over,10462,660,10462,(X)
Estimate Marital Status Males 15 Years And Over Never Married,4415,574,42.2,4.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4493,459,42.9,4.4
Estimate Marital Status Males 15 Years And Over Separated,303,171,2.9,1.6
Estimate Marital Status Males 15 Years And Over Widowed,281,155,2.7,1.5
Estimate Marital Status Males 15 Years And Over Divorced,970,244,9.3,2.3
Estimate Marital Status Females 15 Years And Over,10917,801,10917,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3649,575,33.4,4.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4299,448,39.4,3.9
Estimate Marital Status Females 15 Years And Over Separated,336,140,3.1,1.3
Estimate Marital Status Females 15 Years And Over Widowed,1304,316,11.9,2.6
Estimate Marital Status Females 15 Years And Over Divorced,1329,250,12.2,2.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,346,138,346,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",136,98,39.3,22.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",37,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",59,24,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",39,59,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",82,39,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",44,38,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,608,237,608,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,275,170,45.2,17.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,6.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,94,121,15.5,18.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,153,115,25.2,15.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,28,52,4.6,8.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,275,170,275,(X)
