,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1666,118,1666,(X)
Estimate Households By Type Total Households Married-Couple Household,524,115,31.5,7.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,158,70,9.5,4.3
Estimate Households By Type Total Households Cohabiting Couple Household,228,118,13.7,7.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",319,145,19.1,8.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",20,30,1.2,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",201,132,12.1,7.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",18,28,1.1,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",595,161,35.7,9.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",23,30,1.4,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",288,117,17.3,6.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",125,71,7.5,4.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,201,73,12.1,4.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,410,95,24.6,5.6
Estimate Households By Type Total Households Average Household Size,2.17,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.79,0.21,(X),(X)
Estimate Relationship Population In Households,3613,32,3613,(X)
Estimate Relationship Population In Households Householder,1666,118,46.1,3.1
Estimate Relationship Population In Households Spouse,526,115,14.6,3.2
Estimate Relationship Population In Households Unmarried Partner,244,122,6.8,3.4
Estimate Relationship Population In Households Child,794,154,22.0,4.3
Estimate Relationship Population In Households Other Relatives,63,75,1.7,2.1
Estimate Relationship Population In Households Other Nonrelatives,320,138,8.9,3.8
Estimate Marital Status Males 15 Years And Over,1650,164,1650,(X)
Estimate Marital Status Males 15 Years And Over Never Married,935,184,56.7,9.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",552,130,33.5,8.0
Estimate Marital Status Males 15 Years And Over Separated,88,122,5.3,7.3
Estimate Marital Status Males 15 Years And Over Widowed,23,36,1.4,2.1
Estimate Marital Status Males 15 Years And Over Divorced,52,40,3.2,2.4
Estimate Marital Status Females 15 Years And Over,1718,168,1718,(X)
Estimate Marital Status Females 15 Years And Over Never Married,858,157,49.9,6.7
