,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,9915,469,9915,(X)
Estimate Households By Type Total Households Married-Couple Household,4107,434,41.4,4.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1600,295,16.1,2.9
Estimate Households By Type Total Households Cohabiting Couple Household,1240,312,12.5,3.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,339,180,3.4,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1384,324,14.0,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",239,137,2.4,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",887,269,8.9,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",302,142,3.0,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3184,368,32.1,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",655,180,6.6,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1508,268,15.2,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",662,179,6.7,1.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3413,344,34.4,3.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2638,340,26.6,3.0
Estimate Households By Type Total Households Average Household Size,2.56,0.12,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.06,0.12,(X),(X)
Estimate Relationship Population In Households,25394,1332,25394,(X)
Estimate Relationship Population In Households Householder,9915,469,39.0,1.8
Estimate Relationship Population In Households Spouse,4031,426,15.9,1.4
Estimate Relationship Population In Households Unmarried Partner,1392,385,5.5,1.4
Estimate Relationship Population In Households Child,7713,821,30.4,2.2
Estimate Relationship Population In Households Other Relatives,1444,302,5.7,1.2
Estimate Relationship Population In Households Other Nonrelatives,899,257,3.5,1.0
Estimate Marital Status Males 15 Years And Over,9467,748,9467,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3779,529,39.9,3.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4434,453,46.8,3.9
Estimate Marital Status Males 15 Years And Over Separated,344,209,3.6,2.2
Estimate Marital Status Males 15 Years And Over Widowed,88,62,0.9,0.6
Estimate Marital Status Males 15 Years And Over Divorced,822,265,8.7,2.7
Estimate Marital Status Females 15 Years And Over,10986,720,10986,(X)
Estimate Marital Status Females 15 Years And Over Never Married,4043,572,36.8,3.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4175,445,38.0,3.7
Estimate Marital Status Females 15 Years And Over Separated,279,116,2.5,1.0
Estimate Marital Status Females 15 Years And Over Widowed,876,219,8.0,2.0
Estimate Marital Status Females 15 Years And Over Divorced,1613,289,14.7,2.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,339,118,339,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",167,89,49.3,18.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",42,23,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",54,20,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",13,20,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",77,40,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",42,26,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,541,199,541,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,280,165,51.8,17.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,20,31,3.7,5.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,51,61,9.4,9.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,138,136,25.5,20.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,71,57,13.1,9.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,280,165,280,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,220,126,78.6,15.5
