,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3319,167,3319,(X)
Estimate Households By Type Total Households Married-Couple Household,1581,154,47.6,4.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,316,115,9.5,3.7
Estimate Households By Type Total Households Cohabiting Couple Household,247,97,7.4,3.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,87,62,2.6,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",409,125,12.3,3.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",31,37,0.9,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",319,127,9.6,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",177,99,5.3,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1082,213,32.6,5.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",83,77,2.5,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",776,171,23.4,4.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",479,127,14.4,3.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,551,148,16.6,4.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1784,213,53.8,5.2
Estimate Households By Type Total Households Average Household Size,2.10,0.10,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.63,0.13,(X),(X)
Estimate Relationship Population In Households,6958,91,6958,(X)
Estimate Relationship Population In Households Householder,3319,167,47.7,2.2
Estimate Relationship Population In Households Spouse,1581,149,22.7,2.1
Estimate Relationship Population In Households Unmarried Partner,235,95,3.4,1.4
Estimate Relationship Population In Households Child,1486,197,21.4,2.8
Estimate Relationship Population In Households Other Relatives,267,122,3.8,1.8
Estimate Relationship Population In Households Other Nonrelatives,70,52,1.0,0.8
Estimate Marital Status Males 15 Years And Over,2761,231,2761,(X)
Estimate Marital Status Males 15 Years And Over Never Married,737,147,26.7,4.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1598,147,57.9,5.0
Estimate Marital Status Males 15 Years And Over Separated,42,41,1.5,1.5
Estimate Marital Status Males 15 Years And Over Widowed,170,125,6.2,4.3
Estimate Marital Status Males 15 Years And Over Divorced,214,85,7.8,2.9
Estimate Marital Status Females 15 Years And Over,3586,210,3586,(X)
Estimate Marital Status Females 15 Years And Over Never Married,842,168,23.5,3.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1711,158,47.7,5.3
Estimate Marital Status Females 15 Years And Over Separated,26,24,0.7,0.7
Estimate Marital Status Females 15 Years And Over Widowed,374,110,10.4,2.8
Estimate Marital Status Females 15 Years And Over Divorced,633,139,17.7,3.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,19,0,(X)
