,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,10204,558,10204,(X)
Estimate Households By Type Total Households Married-Couple Household,3273,486,32.1,4.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1232,294,12.1,2.8
Estimate Households By Type Total Households Cohabiting Couple Household,1018,302,10.0,3.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,587,262,5.8,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2361,524,23.1,4.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",251,159,2.5,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1344,382,13.2,3.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",385,143,3.8,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3552,456,34.8,4.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1012,267,9.9,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1379,324,13.5,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",643,241,6.3,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3796,474,37.2,4.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2390,336,23.4,3.2
Estimate Households By Type Total Households Average Household Size,2.71,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.25,0.16,(X),(X)
Estimate Relationship Population In Households,27696,1574,27696,(X)
Estimate Relationship Population In Households Householder,10204,558,36.8,2.0
Estimate Relationship Population In Households Spouse,3053,356,11.0,1.2
Estimate Relationship Population In Households Unmarried Partner,1012,298,3.7,1.1
Estimate Relationship Population In Households Child,8975,1176,32.4,3.0
Estimate Relationship Population In Households Other Relatives,3385,644,12.2,2.4
Estimate Relationship Population In Households Other Nonrelatives,1067,434,3.9,1.5
Estimate Marital Status Males 15 Years And Over,10828,790,10828,(X)
Estimate Marital Status Males 15 Years And Over Never Married,5097,680,47.1,4.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4138,542,38.2,4.4
Estimate Marital Status Males 15 Years And Over Separated,478,203,4.4,1.9
Estimate Marital Status Males 15 Years And Over Widowed,131,90,1.2,0.8
Estimate Marital Status Males 15 Years And Over Divorced,984,251,9.1,2.2
Estimate Marital Status Females 15 Years And Over,10893,729,10893,(X)
Estimate Marital Status Females 15 Years And Over Never Married,4953,727,45.5,4.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3443,399,31.6,3.9
Estimate Marital Status Females 15 Years And Over Separated,603,225,5.5,2.1
Estimate Marital Status Females 15 Years And Over Widowed,664,194,6.1,1.9
Estimate Marital Status Females 15 Years And Over Divorced,1230,273,11.3,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,352,138,352,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",134,84,38.1,21.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",30,19,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",52,20,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",12,20,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",82,39,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",33,32,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,870,278,870,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,251,173,28.9,17.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,29,45,3.3,5.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,15,22,1.7,2.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,74,107,8.5,12.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,133,126,15.3,12.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,251,173,251,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,163,111,64.9,17.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,119,115,47.4,33.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School,7344,936,7344,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",318,164,4.3,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,414,171,5.6,2.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),3405,686,46.4,5.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1585,395,21.6,4.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1622,387,22.1,4.9
Estimate Educational Attainment Population 25 Years And Over,17672,850,17672,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,2298,481,13.0,2.6
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",1940,347,11.0,1.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),5456,743,30.9,3.6
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",3497,529,19.8,2.9
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1358,318,7.7,1.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1970,452,11.1,2.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1153,284,6.5,1.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,13434,843,76.0,3.1
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,3123,514,17.7,3.0
Estimate Veteran Status Civilian Population 18 Years And Over,20542,911,20542,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,400,135,1.9,0.7
