,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4234,399,4234,(X)
Estimate Households By Type Total Households Married-Couple Household,1120,231,26.5,5.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,389,175,9.2,4.0
Estimate Households By Type Total Households Cohabiting Couple Household,308,111,7.3,2.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,151,90,3.6,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1006,289,23.8,5.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",37,54,0.9,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",766,268,18.1,5.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",199,101,4.7,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1800,222,42.5,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",935,184,22.1,4.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",491,128,11.6,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",136,63,3.2,1.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1717,288,40.6,6.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1008,202,23.8,4.6
Estimate Households By Type Total Households Average Household Size,2.88,0.22,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.63,0.27,(X),(X)
Estimate Relationship Population In Households,12215,1458,12215,(X)
Estimate Relationship Population In Households Householder,4234,399,34.7,2.7
Estimate Relationship Population In Households Spouse,1161,250,9.5,1.9
Estimate Relationship Population In Households Unmarried Partner,282,99,2.3,0.8
Estimate Relationship Population In Households Child,5305,904,43.4,3.8
Estimate Relationship Population In Households Other Relatives,915,293,7.5,2.0
Estimate Relationship Population In Households Other Nonrelatives,318,229,2.6,1.8
Estimate Marital Status Males 15 Years And Over,4423,563,4423,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2593,515,58.6,6.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1342,256,30.3,5.7
Estimate Marital Status Males 15 Years And Over Separated,91,79,2.1,1.8
Estimate Marital Status Males 15 Years And Over Widowed,88,64,2.0,1.5
Estimate Marital Status Males 15 Years And Over Divorced,309,110,7.0,2.4
Estimate Marital Status Females 15 Years And Over,4803,583,4803,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2740,433,57.0,4.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1183,256,24.6,4.4
Estimate Marital Status Females 15 Years And Over Separated,223,117,4.6,2.4
Estimate Marital Status Females 15 Years And Over Widowed,351,116,7.3,2.3
Estimate Marital Status Females 15 Years And Over Divorced,306,115,6.4,2.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,228,127,228,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",139,95,61.0,21.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",55,35,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",68,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",17,35,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",95,64,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",56,45,(X),(X)
