,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,10458,374,10458,(X)
Estimate Households By Type Total Households Married-Couple Household,5031,327,48.1,3.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1930,243,18.5,2.5
Estimate Households By Type Total Households Cohabiting Couple Household,601,236,5.7,2.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,68,52,0.7,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1547,312,14.8,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",69,44,0.7,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1163,278,11.1,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",394,128,3.8,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3279,405,31.4,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",494,240,4.7,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2015,320,19.3,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1152,262,11.0,2.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2774,279,26.5,2.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3588,342,34.3,3.1
Estimate Households By Type Total Households Average Household Size,2.34,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.00,0.12,(X),(X)
Estimate Relationship Population In Households,24510,196,24510,(X)
Estimate Relationship Population In Households Householder,10458,374,42.7,1.5
Estimate Relationship Population In Households Spouse,4950,332,20.2,1.4
Estimate Relationship Population In Households Unmarried Partner,574,202,2.3,0.8
Estimate Relationship Population In Households Child,6747,446,27.5,1.8
Estimate Relationship Population In Households Other Relatives,1249,332,5.1,1.3
Estimate Relationship Population In Households Other Nonrelatives,532,215,2.2,0.9
Estimate Marital Status Males 15 Years And Over,10016,428,10016,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3382,381,33.8,3.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5570,305,55.6,3.0
Estimate Marital Status Males 15 Years And Over Separated,35,31,0.3,0.3
Estimate Marital Status Males 15 Years And Over Widowed,293,117,2.9,1.1
Estimate Marital Status Males 15 Years And Over Divorced,736,209,7.3,2.0
Estimate Marital Status Females 15 Years And Over,11314,367,11314,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3336,427,29.5,3.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5290,313,46.8,3.1
Estimate Marital Status Females 15 Years And Over Separated,111,88,1.0,0.8
Estimate Marital Status Females 15 Years And Over Widowed,1290,316,11.4,2.6
Estimate Marital Status Females 15 Years And Over Divorced,1287,270,11.4,2.4
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,274,93,274,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",43,39,15.7,13.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",15,13,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",48,17,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,84,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",44,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",62,34,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,377,178,377,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,37,31,9.8,9.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,6,9,1.6,2.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,25,0.0,10.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,8,13,2.1,3.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,23,26,6.1,7.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,37,31,37,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,37,31,100.0,54.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,6,9,16.2,21.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School,4780,434,4780,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",459,138,9.6,3.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,263,113,5.5,2.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1624,268,34.0,4.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),965,192,20.2,3.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1469,299,30.7,5.0
Estimate Educational Attainment Population 25 Years And Over,18556,490,18556,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,323,112,1.7,0.6
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",660,198,3.6,1.1
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),3721,468,20.1,2.5
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",2604,329,14.0,1.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,984,231,5.3,1.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,5582,448,30.1,2.2
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,4682,477,25.2,2.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,17573,506,94.7,1.2
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,10264,598,55.3,2.8
Estimate Veteran Status Civilian Population 18 Years And Over,20700,406,20700,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,1053,202,5.1,1.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,24528,192,24528,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,2691,374,11.0,1.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,4591,400,4591,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,185,92,4.0,2.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,15288,386,15288,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,1287,298,8.4,2.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,4649,348,4649,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,1219,196,26.2,4.3
Estimate Residence 1 Year Ago Population 1 Year And Over,25089,87,25089,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,22365,565,89.1,2.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),2724,562,10.9,2.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,2546,540,10.1,2.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,674,248,2.7,1.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,1872,487,7.5,1.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,1563,468,6.2,1.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,309,204,1.2,0.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,178,135,0.7,0.5
Estimate Place Of Birth Total Population,25308,27,25308,(X)
Estimate Place Of Birth Total Population Native,21808,526,86.2,2.1
Estimate Place Of Birth Total Population Native Born In United States,21274,529,84.1,2.1
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,16763,611,66.2,2.4
Estimate Place Of Birth Total Population Native Born In United States Different State,4511,462,17.8,1.8
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",534,215,2.1,0.8
Estimate Place Of Birth Total Population Foreign Born,3500,523,13.8,2.1
Estimate U.S. Citizenship Status Foreign-Born Population,3500,523,3500,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,2226,311,63.6,6.9
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,1274,372,36.4,6.9
Estimate Year Of Entry Population Born Outside The United States,4034,526,4034,(X)
Estimate Year Of Entry Population Born Outside The United States Native,534,215,534,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,153,114,28.7,15.0
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,381,151,71.3,15.0
Estimate Year Of Entry Population Born Outside The United States Foreign Born,3500,523,3500,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,945,312,27.0,7.0
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,2555,398,73.0,7.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",3500,523,3500,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",1439,402,41.1,9.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",746,246,21.3,6.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",275,125,7.9,3.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",6,9,0.2,0.3
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",965,320,27.6,7.9
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",69,61,2.0,1.7
Estimate Language Spoken At Home Population 5 Years And Over,23641,255,23641,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,19311,574,81.7,2.2
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,4330,525,18.3,2.2
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",1334,353,5.6,1.5
Estimate Language Spoken At Home Population 5 Years And Over Spanish,1228,330,5.2,1.4
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",148,81,0.6,0.3
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,2170,484,9.2,2.0
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",882,299,3.7,1.3
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,562,229,2.4,1.0
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",100,69,0.4,0.3
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,370,235,1.6,1.0
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",204,185,0.9,0.8
Estimate Ancestry Total Population,25308,27,25308,(X)
Estimate Ancestry Total Population American,982,288,3.9,1.1
Estimate Ancestry Total Population Arab,379,144,1.5,0.6
Estimate Ancestry Total Population Czech,53,56,0.2,0.2
Estimate Ancestry Total Population Danish,18,19,0.1,0.1
Estimate Ancestry Total Population Dutch,103,54,0.4,0.2
Estimate Ancestry Total Population English,2750,377,10.9,1.5
Estimate Ancestry Total Population French (Except Basque),842,294,3.3,1.2
Estimate Ancestry Total Population French Canadian,584,206,2.3,0.8
Estimate Ancestry Total Population German,1626,361,6.4,1.4
Estimate Ancestry Total Population Greek,520,180,2.1,0.7
Estimate Ancestry Total Population Hungarian,136,114,0.5,0.4
Estimate Ancestry Total Population Irish,7422,785,29.3,3.1
Estimate Ancestry Total Population Italian,3412,542,13.5,2.1
Estimate Ancestry Total Population Lithuanian,47,36,0.2,0.1
Estimate Ancestry Total Population Norwegian,123,139,0.5,0.5
Estimate Ancestry Total Population Polish,495,197,2.0,0.8
Estimate Ancestry Total Population Portuguese,286,188,1.1,0.7
Estimate Ancestry Total Population Russian,551,245,2.2,1.0
Estimate Ancestry Total Population Scotch-Irish,151,71,0.6,0.3
Estimate Ancestry Total Population Scottish,651,207,2.6,0.8
Estimate Ancestry Total Population Slovak,0,25,0.0,0.2
Estimate Ancestry Total Population Subsaharan African,536,391,2.1,1.5
Estimate Ancestry Total Population Swedish,401,187,1.6,0.7
Estimate Ancestry Total Population Swiss,8,13,0.0,0.1
Estimate Ancestry Total Population Ukrainian,99,61,0.4,0.2
Estimate Ancestry Total Population Welsh,83,57,0.3,0.2
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),456,281,1.8,1.1
Estimate Computers And Internet Use Total Households,10458,374,10458,(X)
Estimate Computers And Internet Use Total Households With A Computer,9817,386,93.9,1.4
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,9489,431,90.7,2.3
