,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,9375,483,9375,(X)
Estimate Households By Type Total Households Married-Couple Household,3125,363,33.3,3.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1131,227,12.1,2.4
Estimate Households By Type Total Households Cohabiting Couple Household,1136,235,12.1,2.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,516,216,5.5,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1821,329,19.4,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",13,20,0.1,0.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1369,276,14.6,2.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",535,186,5.7,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3293,438,35.1,3.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",730,268,7.8,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1737,340,18.5,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",929,252,9.9,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2590,364,27.6,3.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2843,387,30.3,3.6
Estimate Households By Type Total Households Average Household Size,2.36,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.02,0.15,(X),(X)
Estimate Relationship Population In Households,22102,1231,22102,(X)
Estimate Relationship Population In Households Householder,9375,483,42.4,1.9
Estimate Relationship Population In Households Spouse,3185,384,14.4,1.6
Estimate Relationship Population In Households Unmarried Partner,1249,276,5.7,1.2
Estimate Relationship Population In Households Child,6625,776,30.0,2.5
Estimate Relationship Population In Households Other Relatives,1137,385,5.1,1.6
Estimate Relationship Population In Households Other Nonrelatives,531,202,2.4,0.9
Estimate Marital Status Males 15 Years And Over,8326,543,8326,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3555,415,42.7,4.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3347,392,40.2,4.1
Estimate Marital Status Males 15 Years And Over Separated,144,84,1.7,1.0
Estimate Marital Status Males 15 Years And Over Widowed,302,156,3.6,1.8
Estimate Marital Status Males 15 Years And Over Divorced,978,199,11.7,2.2
Estimate Marital Status Females 15 Years And Over,10375,694,10375,(X)
Estimate Marital Status Females 15 Years And Over Never Married,4434,592,42.7,4.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3622,434,34.9,3.8
Estimate Marital Status Females 15 Years And Over Separated,224,97,2.2,0.9
Estimate Marital Status Females 15 Years And Over Widowed,992,219,9.6,2.0
Estimate Marital Status Females 15 Years And Over Divorced,1103,225,10.6,2.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,313,94,313,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",97,68,31.0,19.8
