,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,742,167,742,(X)
Estimate Households By Type Total Households Married-Couple Household,443,120,59.7,8.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,57,31,7.7,3.9
Estimate Households By Type Total Households Cohabiting Couple Household,35,18,4.7,2.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,11,12,1.5,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",107,49,14.4,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",6,9,0.8,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",87,44,11.7,5.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",54,38,7.3,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",157,62,21.2,6.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",7,11,0.9,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",81,33,10.9,4.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",60,28,8.1,3.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,115,58,15.5,6.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,438,127,59.0,8.0
Estimate Households By Type Total Households Average Household Size,2.88,0.52,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.19,0.60,(X),(X)
Estimate Relationship Population In Households,2140,502,2140,(X)
Estimate Relationship Population In Households Householder,742,167,34.7,5.9
Estimate Relationship Population In Households Spouse,393,115,18.4,3.6
Estimate Relationship Population In Households Unmarried Partner,40,23,1.9,1.1
Estimate Relationship Population In Households Child,639,255,29.9,7.2
Estimate Relationship Population In Households Other Relatives,166,96,7.8,4.1
Estimate Relationship Population In Households Other Nonrelatives,160,134,7.5,5.8
