,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8451,270,8451,(X)
Estimate Households By Type Total Households Married-Couple Household,3606,272,42.7,3.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1109,145,13.1,1.8
Estimate Households By Type Total Households Cohabiting Couple Household,661,231,7.8,2.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,174,116,2.1,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1746,301,20.7,3.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",68,75,0.8,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1135,253,13.4,2.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",387,130,4.6,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2438,424,28.8,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",380,159,4.5,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1476,307,17.5,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",808,229,9.6,2.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1930,232,22.8,2.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3009,288,35.6,3.3
Estimate Households By Type Total Households Average Household Size,2.09,0.07,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.62,0.10,(X),(X)
Estimate Relationship Population In Households,17637,165,17637,(X)
Estimate Relationship Population In Households Householder,8451,270,47.9,1.5
Estimate Relationship Population In Households Spouse,3654,308,20.7,1.7
Estimate Relationship Population In Households Unmarried Partner,634,211,3.6,1.2
Estimate Relationship Population In Households Child,3987,433,22.6,2.5
Estimate Relationship Population In Households Other Relatives,389,147,2.2,0.8
Estimate Relationship Population In Households Other Nonrelatives,522,267,3.0,1.5
Estimate Marital Status Males 15 Years And Over,7184,414,7184,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2216,383,30.8,4.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3771,318,52.5,4.5
Estimate Marital Status Males 15 Years And Over Separated,60,50,0.8,0.7
Estimate Marital Status Males 15 Years And Over Widowed,227,109,3.2,1.5
Estimate Marital Status Males 15 Years And Over Divorced,910,246,12.7,3.3
Estimate Marital Status Females 15 Years And Over,8219,474,8219,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2605,561,31.7,5.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3850,307,46.8,5.0
Estimate Marital Status Females 15 Years And Over Separated,178,110,2.2,1.4
Estimate Marital Status Females 15 Years And Over Widowed,560,217,6.8,2.6
Estimate Marital Status Females 15 Years And Over Divorced,1026,289,12.5,3.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,38,36,38,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,53.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,16,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",9,9,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,76,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",13,19,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",8,14,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,228,120,228,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,42,65,18.4,25.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,16.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,16.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,16.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,42,65,18.4,25.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,42,65,42,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,42,65,100.0,50.8
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,42,65,100.0,50.8
