,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1503,104,1503,(X)
Estimate Households By Type Total Households Married-Couple Household,924,93,61.5,8.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,315,108,21.0,8.1
Estimate Households By Type Total Households Cohabiting Couple Household,99,50,6.6,3.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,68,45,4.5,2.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",257,98,17.1,6.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",8,13,0.5,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",223,99,14.8,6.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",43,26,2.9,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",223,97,14.8,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",20,22,1.3,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",172,88,11.4,5.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",139,74,9.2,4.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,434,87,28.9,7.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,554,108,36.9,5.8
Estimate Households By Type Total Households Average Household Size,2.46,0.17,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.98,0.16,(X),(X)
Estimate Relationship Population In Households,3703,23,3703,(X)
Estimate Relationship Population In Households Householder,1503,104,40.6,2.8
Estimate Relationship Population In Households Spouse,896,102,24.2,2.7
Estimate Relationship Population In Households Unmarried Partner,95,48,2.6,1.3
Estimate Relationship Population In Households Child,1088,123,29.4,3.3
Estimate Relationship Population In Households Other Relatives,91,52,2.5,1.4
Estimate Relationship Population In Households Other Nonrelatives,30,28,0.8,0.7
Estimate Marital Status Males 15 Years And Over,1524,119,1524,(X)
Estimate Marital Status Males 15 Years And Over Never Married,403,126,26.4,6.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",911,99,59.8,8.1
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,2.6
Estimate Marital Status Males 15 Years And Over Widowed,40,25,2.6,1.6
Estimate Marital Status Males 15 Years And Over Divorced,170,87,11.2,5.5
Estimate Marital Status Females 15 Years And Over,1488,108,1488,(X)
Estimate Marital Status Females 15 Years And Over Never Married,292,99,19.6,5.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",915,97,61.5,8.1
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,2.6
Estimate Marital Status Females 15 Years And Over Widowed,149,76,10.0,4.8
Estimate Marital Status Females 15 Years And Over Divorced,132,63,8.9,4.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,14,17,14,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,87.9
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,149,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",21,27,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,329,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",90,114,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,92,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,70,59,70,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,24,41,34.3,43.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,39.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,24,41,34.3,43.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,39.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,0.0,39.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,24,41,24,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,12,21,50.0,9.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,24,41,100.0,67.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School,790,150,790,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",43,31,5.4,4.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,92,87,11.6,9.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),392,116,49.6,9.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),155,72,19.6,9.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,108,59,13.7,7.8
Estimate Educational Attainment Population 25 Years And Over,2766,132,2766,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,0,13,0.0,1.4
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",80,45,2.9,1.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),670,168,24.2,5.8
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",520,132,18.8,4.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,271,109,9.8,3.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,870,226,31.5,8.4
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,355,99,12.8,3.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,2686,131,97.1,1.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,1225,246,44.3,8.8
Estimate Veteran Status Civilian Population 18 Years And Over,2883,136,2883,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,281,92,9.7,3.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,3703,23,3703,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,429,137,11.6,3.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,820,135,820,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,33,40,4.0,5.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,2142,117,2142,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,192,82,9.0,4.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,741,152,741,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,204,87,27.5,11.1
Estimate Residence 1 Year Ago Population 1 Year And Over,3689,29,3689,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,3267,210,88.6,5.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),422,210,11.4,5.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,422,210,11.4,5.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,163,109,4.4,3.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,259,185,7.0,5.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,192,174,5.2,4.7
