,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4482,342,4482,(X)
Estimate Households By Type Total Households Married-Couple Household,2313,252,51.6,5.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,934,167,20.8,3.8
Estimate Households By Type Total Households Cohabiting Couple Household,357,168,8.0,3.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,43,47,1.0,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",402,128,9.0,2.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",19,21,0.4,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",295,117,6.6,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",81,54,1.8,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1410,310,31.5,5.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",223,101,5.0,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",855,287,19.1,5.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",571,254,12.7,5.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1308,170,29.2,3.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1620,299,36.1,5.6
Estimate Households By Type Total Households Average Household Size,2.55,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.07,0.17,(X),(X)
Estimate Relationship Population In Households,11428,738,11428,(X)
Estimate Relationship Population In Households Householder,4482,342,39.2,2.5
Estimate Relationship Population In Households Spouse,2266,255,19.8,2.0
Estimate Relationship Population In Households Unmarried Partner,370,172,3.2,1.5
Estimate Relationship Population In Households Child,3517,436,30.8,2.7
Estimate Relationship Population In Households Other Relatives,545,184,4.8,1.5
Estimate Relationship Population In Households Other Nonrelatives,248,156,2.2,1.4
Estimate Marital Status Males 15 Years And Over,4311,364,4311,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1263,240,29.3,4.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2497,241,57.9,5.1
Estimate Marital Status Males 15 Years And Over Separated,54,78,1.3,1.8
Estimate Marital Status Males 15 Years And Over Widowed,40,32,0.9,0.7
