,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,11376,588,11376,(X)
Estimate Households By Type Total Households Married-Couple Household,4261,498,37.5,3.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2042,274,18.0,2.5
Estimate Households By Type Total Households Cohabiting Couple Household,974,257,8.6,2.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,424,188,3.7,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3032,430,26.7,3.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",118,102,1.0,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1667,360,14.7,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",315,195,2.8,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3109,404,27.3,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",924,242,8.1,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1032,284,9.1,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",381,150,3.3,1.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3955,407,34.8,3.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2609,309,22.9,2.9
Estimate Households By Type Total Households Average Household Size,2.84,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.43,0.14,(X),(X)
Estimate Relationship Population In Households,32280,1607,32280,(X)
Estimate Relationship Population In Households Householder,11376,588,35.2,1.4
Estimate Relationship Population In Households Spouse,4060,430,12.6,1.1
Estimate Relationship Population In Households Unmarried Partner,963,257,3.0,0.8
Estimate Relationship Population In Households Child,9194,882,28.5,1.8
Estimate Relationship Population In Households Other Relatives,4635,700,14.4,2.1
Estimate Relationship Population In Households Other Nonrelatives,2052,535,6.4,1.6
Estimate Marital Status Males 15 Years And Over,13567,868,13567,(X)
Estimate Marital Status Males 15 Years And Over Never Married,6132,738,45.2,4.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5492,581,40.5,3.8
Estimate Marital Status Males 15 Years And Over Separated,201,124,1.5,0.9
Estimate Marital Status Males 15 Years And Over Widowed,296,135,2.2,1.0
Estimate Marital Status Males 15 Years And Over Divorced,1446,349,10.7,2.6
Estimate Marital Status Females 15 Years And Over,13205,832,13205,(X)
Estimate Marital Status Females 15 Years And Over Never Married,5312,710,40.2,3.9
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4880,487,37.0,3.4
Estimate Marital Status Females 15 Years And Over Separated,301,128,2.3,1.0
Estimate Marital Status Females 15 Years And Over Widowed,1018,213,7.7,1.7
Estimate Marital Status Females 15 Years And Over Divorced,1694,292,12.8,2.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,776,238,776,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",408,180,52.6,15.4
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",73,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",91,28,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,58,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",111,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",85,40,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,1106,294,1106,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,140,88,12.7,7.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,28,0.0,3.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,18,30,1.6,2.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,28,0.0,3.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,122,82,11.0,7.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,140,88,140,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,113,63,80.7,16.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,114,86,81.4,23.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School,7509,773,7509,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",610,197,8.1,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,258,104,3.4,1.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2685,511,35.8,5.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1263,269,16.8,2.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,2693,480,35.9,5.3
Estimate Educational Attainment Population 25 Years And Over,22324,1153,22324,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,3392,515,15.2,2.3
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",1700,393,7.6,1.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),6073,608,27.2,2.8
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",3046,430,13.6,2.0
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1447,315,6.5,1.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,3982,737,17.8,2.9
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,2684,622,12.0,2.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,17232,1137,77.2,3.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,6666,1131,29.9,4.3
Estimate Veteran Status Civilian Population 18 Years And Over,25834,1384,25834,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,798,195,3.1,0.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,32341,1602,32341,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,3913,585,12.1,1.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,6635,705,6635,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,442,188,6.7,2.7
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,22605,1411,22605,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,2108,442,9.3,2.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3101,359,3101,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,1363,282,44.0,6.3
Estimate Residence 1 Year Ago Population 1 Year And Over,31908,1602,31908,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,28018,1640,87.8,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),3890,765,12.2,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,3679,742,11.5,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,2614,613,8.2,1.9
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,1065,382,3.3,1.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,744,312,2.3,1.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,321,161,1.0,0.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,211,169,0.7,0.5
Estimate Place Of Birth Total Population,32469,1606,32469,(X)
Estimate Place Of Birth Total Population Native,19807,1509,61.0,3.2
Estimate Place Of Birth Total Population Native Born In United States,18539,1579,57.1,3.5
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,14588,1333,44.9,3.4
Estimate Place Of Birth Total Population Native Born In United States Different State,3951,867,12.2,2.5
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",1268,418,3.9,1.3
Estimate Place Of Birth Total Population Foreign Born,12662,1150,39.0,3.2
Estimate U.S. Citizenship Status Foreign-Born Population,12662,1150,12662,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,6886,785,54.4,5.3
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,5776,949,45.6,5.3
Estimate Year Of Entry Population Born Outside The United States,13930,1238,13930,(X)
Estimate Year Of Entry Population Born Outside The United States Native,1268,418,1268,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,283,179,22.3,12.1
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,985,352,77.7,12.1
Estimate Year Of Entry Population Born Outside The United States Foreign Born,12662,1150,12662,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,4363,859,34.5,5.7
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,8299,990,65.5,5.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",12662,1150,12662,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",269,134,2.1,1.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",9148,1012,72.2,4.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",1533,472,12.1,3.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",9,17,0.1,0.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",1619,526,12.8,3.9
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",84,101,0.7,0.8
Estimate Language Spoken At Home Population 5 Years And Over,30362,1541,30362,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,14641,1442,48.2,3.7
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,15721,1260,51.8,3.7
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",8089,926,26.6,3.0
Estimate Language Spoken At Home Population 5 Years And Over Spanish,2404,534,7.9,1.7
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",816,276,2.7,0.9
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,2579,719,8.5,2.4
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",1214,415,4.0,1.4
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,9959,1113,32.8,3.6
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",5978,838,19.7,2.8
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,779,324,2.6,1.0
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",81,67,0.3,0.2
Estimate Ancestry Total Population,32469,1606,32469,(X)
Estimate Ancestry Total Population American,447,183,1.4,0.6
Estimate Ancestry Total Population Arab,94,74,0.3,0.2
Estimate Ancestry Total Population Czech,0,28,0.0,0.1
Estimate Ancestry Total Population Danish,0,28,0.0,0.1
Estimate Ancestry Total Population Dutch,15,25,0.0,0.1
Estimate Ancestry Total Population English,1235,803,3.8,2.4
Estimate Ancestry Total Population French (Except Basque),1171,433,3.6,1.3
Estimate Ancestry Total Population French Canadian,725,238,2.2,0.7
Estimate Ancestry Total Population German,751,369,2.3,1.1
Estimate Ancestry Total Population Greek,432,175,1.3,0.5
Estimate Ancestry Total Population Hungarian,43,47,0.1,0.1
