,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,6194,364,6194,(X)
Estimate Households By Type Total Households Married-Couple Household,2722,300,43.9,5.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1087,230,17.5,3.9
Estimate Households By Type Total Households Cohabiting Couple Household,481,211,7.8,3.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,26,46,0.4,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1031,284,16.6,4.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",20,33,0.3,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",860,253,13.9,3.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",237,120,3.8,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1960,371,31.6,5.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",374,137,6.0,2.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",879,242,14.2,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",303,116,4.9,1.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1595,250,25.8,4.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1445,247,23.3,3.7
Estimate Households By Type Total Households Average Household Size,2.44,0.14,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.02,0.17,(X),(X)
Estimate Relationship Population In Households,15141,996,15141,(X)
Estimate Relationship Population In Households Householder,6194,364,40.9,2.3
Estimate Relationship Population In Households Spouse,2780,314,18.4,2.0
Estimate Relationship Population In Households Unmarried Partner,515,252,3.4,1.6
Estimate Relationship Population In Households Child,4569,656,30.2,3.0
Estimate Relationship Population In Households Other Relatives,822,274,5.4,1.7
Estimate Relationship Population In Households Other Nonrelatives,261,121,1.7,0.8
Estimate Marital Status Males 15 Years And Over,6276,611,6276,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2600,510,41.4,5.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2953,329,47.1,5.8
Estimate Marital Status Males 15 Years And Over Separated,68,78,1.1,1.2
Estimate Marital Status Males 15 Years And Over Widowed,225,115,3.6,1.7
Estimate Marital Status Males 15 Years And Over Divorced,430,172,6.9,2.6
Estimate Marital Status Females 15 Years And Over,6899,572,6899,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2140,440,31.0,5.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3024,321,43.8,5.0
Estimate Marital Status Females 15 Years And Over Separated,90,75,1.3,1.1
Estimate Marital Status Females 15 Years And Over Widowed,431,165,6.2,2.3
Estimate Marital Status Females 15 Years And Over Divorced,1214,343,17.6,4.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,69,66,69,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",26,46,37.7,44.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",12,22,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",18,18,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,65,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",52,53,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,20,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,184,127,184,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,31,37,16.8,22.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,19.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,19.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,18,28,9.8,15.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,13,24,7.1,14.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,31,37,31,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,31,37,100.0,59.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,21,0.0,59.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3447,622,3447,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",162,95,4.7,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,352,158,10.2,4.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1158,319,33.6,8.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),924,336,26.8,7.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,851,331,24.7,7.8
Estimate Educational Attainment Population 25 Years And Over,10875,783,10875,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,515,220,4.7,2.0
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",331,147,3.0,1.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),2770,424,25.5,3.6
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1907,375,17.5,3.1
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1104,285,10.2,2.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2850,512,26.2,4.1
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1398,265,12.9,2.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,10029,789,92.2,2.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,4248,610,39.1,4.8
Estimate Veteran Status Civilian Population 18 Years And Over,12548,821,12548,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,740,241,5.9,1.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,15151,997,15151,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1467,392,9.7,2.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,2717,430,2717,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,35,40,1.3,1.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,10561,782,10561,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,992,383,9.4,3.5
