,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5165,286,5165,(X)
Estimate Households By Type Total Households Married-Couple Household,2810,273,54.4,4.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1050,163,20.3,3.4
Estimate Households By Type Total Households Cohabiting Couple Household,492,180,9.5,3.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,101,74,2.0,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",761,255,14.7,4.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",60,73,1.2,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",467,190,9.0,3.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",224,145,4.3,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1102,201,21.3,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",223,99,4.3,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",623,151,12.1,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",446,130,8.6,2.5
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1646,183,31.9,3.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1745,236,33.8,4.3
Estimate Households By Type Total Households Average Household Size,2.65,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.06,0.18,(X),(X)
Estimate Relationship Population In Households,13673,74,13673,(X)
Estimate Relationship Population In Households Householder,5165,286,37.8,2.1
Estimate Relationship Population In Households Spouse,2842,260,20.8,1.9
Estimate Relationship Population In Households Unmarried Partner,492,174,3.6,1.3
Estimate Relationship Population In Households Child,4012,280,29.3,2.0
Estimate Relationship Population In Households Other Relatives,810,422,5.9,3.1
Estimate Relationship Population In Households Other Nonrelatives,352,259,2.6,1.9
Estimate Marital Status Males 15 Years And Over,5532,384,5532,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1773,335,32.0,5.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2889,279,52.2,4.7
