,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2077,218,2077,(X)
Estimate Households By Type Total Households Married-Couple Household,568,153,27.3,6.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,121,78,5.8,3.6
Estimate Households By Type Total Households Cohabiting Couple Household,297,113,14.3,5.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,13,21,0.6,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",568,138,27.3,6.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",426,124,20.5,5.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",5,7,0.2,0.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",644,163,31.0,6.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",20,18,1.0,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",398,124,19.2,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",122,66,5.9,3.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,154,87,7.4,4.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,264,91,12.7,4.1
Estimate Households By Type Total Households Average Household Size,1.82,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.41,0.25,(X),(X)
Estimate Relationship Population In Households,3774,495,3774,(X)
Estimate Relationship Population In Households Householder,2077,218,55.0,4.4
Estimate Relationship Population In Households Spouse,617,174,16.3,3.4
Estimate Relationship Population In Households Unmarried Partner,294,116,7.8,2.9
Estimate Relationship Population In Households Child,372,183,9.9,4.0
Estimate Relationship Population In Households Other Relatives,49,41,1.3,1.1
Estimate Relationship Population In Households Other Nonrelatives,365,103,9.7,2.7
Estimate Marital Status Males 15 Years And Over,1956,241,1956,(X)
