,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,20625,652,20625,(X)
Estimate Households By Type Total Households Married-Couple Household,8049,552,39.0,2.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2879,487,14.0,2.5
Estimate Households By Type Total Households Cohabiting Couple Household,2119,324,10.3,1.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,493,174,2.4,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3750,500,18.2,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",404,290,2.0,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",2796,431,13.6,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",688,170,3.3,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",6707,591,32.5,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1705,339,8.3,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",3456,408,16.8,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1704,283,8.3,1.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,6617,451,32.1,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,5784,441,28.0,2.1
Estimate Households By Type Total Households Average Household Size,2.49,0.07,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.08,0.10,(X),(X)
Estimate Relationship Population In Households,51266,907,51266,(X)
Estimate Relationship Population In Households Householder,20625,652,40.2,1.1
Estimate Relationship Population In Households Spouse,8035,492,15.7,0.9
Estimate Relationship Population In Households Unmarried Partner,2163,348,4.2,0.7
Estimate Relationship Population In Households Child,14855,800,29.0,1.5
Estimate Relationship Population In Households Other Relatives,3947,590,7.7,1.1
Estimate Relationship Population In Households Other Nonrelatives,1641,404,3.2,0.8
Estimate Marital Status Males 15 Years And Over,19687,727,19687,(X)
Estimate Marital Status Males 15 Years And Over Never Married,8268,725,42.0,3.0
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",8821,543,44.8,2.8
Estimate Marital Status Males 15 Years And Over Separated,268,112,1.4,0.6
Estimate Marital Status Males 15 Years And Over Widowed,524,141,2.7,0.7
Estimate Marital Status Males 15 Years And Over Divorced,1806,296,9.2,1.4
Estimate Marital Status Females 15 Years And Over,22586,719,22586,(X)
Estimate Marital Status Females 15 Years And Over Never Married,7843,645,34.7,2.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",8838,548,39.1,2.4
Estimate Marital Status Females 15 Years And Over Separated,637,213,2.8,1.0
Estimate Marital Status Females 15 Years And Over Widowed,2113,365,9.4,1.6
Estimate Marital Status Females 15 Years And Over Divorced,3155,366,14.0,1.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,656,339,656,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",219,128,33.4,17.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",28,17,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",53,27,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",14,22,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",97,58,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",19,11,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,1484,594,1484,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,810,553,54.6,19.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,54,49,3.6,3.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,227,298,15.3,15.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,84,51,5.7,4.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,445,276,30.0,10.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,810,553,810,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,502,323,62.0,7.8
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,597,548,73.7,22.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School,11772,763,11772,(X)
