,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2292,259,2292,(X)
Estimate Households By Type Total Households Married-Couple Household,1056,162,46.1,8.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,278,80,12.1,3.8
Estimate Households By Type Total Households Cohabiting Couple Household,230,146,10.0,6.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,41,45,1.8,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",235,148,10.3,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,19,0.0,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",162,120,7.1,4.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",51,49,2.2,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",771,204,33.6,7.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",160,89,7.0,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",489,158,21.3,5.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",416,147,18.2,5.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,528,108,23.0,5.1
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1129,206,49.3,6.8
Estimate Households By Type Total Households Average Household Size,2.37,0.19,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.95,0.21,(X),(X)
Estimate Relationship Population In Households,5422,452,5422,(X)
Estimate Relationship Population In Households Householder,2292,259,42.3,3.4
Estimate Relationship Population In Households Spouse,1089,168,20.1,2.8
Estimate Relationship Population In Households Unmarried Partner,217,135,4.0,2.4
Estimate Relationship Population In Households Child,1435,279,26.5,4.5
Estimate Relationship Population In Households Other Relatives,336,193,6.2,3.5
Estimate Relationship Population In Households Other Nonrelatives,53,45,1.0,0.8
Estimate Marital Status Males 15 Years And Over,2232,323,2232,(X)
Estimate Marital Status Males 15 Years And Over Never Married,816,249,36.6,8.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1200,190,53.8,8.0
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.8
Estimate Marital Status Males 15 Years And Over Widowed,3,15,0.1,0.7
Estimate Marital Status Males 15 Years And Over Divorced,213,127,9.5,5.3
Estimate Marital Status Females 15 Years And Over,2732,289,2732,(X)
Estimate Marital Status Females 15 Years And Over Never Married,705,265,25.8,8.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1248,184,45.7,7.1
Estimate Marital Status Females 15 Years And Over Separated,25,34,0.9,1.2
Estimate Marital Status Females 15 Years And Over Widowed,327,160,12.0,5.6
Estimate Marital Status Females 15 Years And Over Divorced,427,169,15.6,6.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,57,41,57,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",20,30,35.1,45.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",28,43,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",49,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,279,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",34,61,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",71,63,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,105,80,105,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,52,54,49.5,27.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,30.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,31,45,29.5,33.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,6,11,5.7,10.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,15,25,14.3,19.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,52,54,52,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,34,35,65.4,22.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,37,49,71.2,44.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1041,284,1041,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",17,28,1.6,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,13,13,1.2,1.3
