,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,708,79,708,(X)
Estimate Households By Type Total Households Married-Couple Household,397,73,56.1,7.3
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,180,57,25.4,7.2
Estimate Households By Type Total Households Cohabiting Couple Household,72,31,10.2,4.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,27,25,3.8,3.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",130,51,18.4,6.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",3,4,0.4,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",107,46,15.1,6.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",21,12,3.0,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",109,36,15.4,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",4,5,0.6,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",71,33,10.0,4.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",34,22,4.8,3.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,229,61,32.3,7.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,189,50,26.7,6.7
Estimate Households By Type Total Households Average Household Size,2.47,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.92,0.23,(X),(X)
Estimate Relationship Population In Households,1748,231,1748,(X)
Estimate Relationship Population In Households Householder,708,79,40.5,3.3
Estimate Relationship Population In Households Spouse,374,66,21.4,2.2
Estimate Relationship Population In Households Unmarried Partner,77,33,4.4,1.9
Estimate Relationship Population In Households Child,493,124,28.2,4.5
Estimate Relationship Population In Households Other Relatives,30,21,1.7,1.2
Estimate Relationship Population In Households Other Nonrelatives,66,45,3.8,2.6
Estimate Marital Status Males 15 Years And Over,721,88,721,(X)
Estimate Marital Status Males 15 Years And Over Never Married,225,56,31.2,6.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",403,72,55.9,7.2
Estimate Marital Status Males 15 Years And Over Separated,9,8,1.2,1.1
Estimate Marital Status Males 15 Years And Over Widowed,10,9,1.4,1.2
Estimate Marital Status Males 15 Years And Over Divorced,74,28,10.3,3.9
Estimate Marital Status Females 15 Years And Over,670,104,670,(X)
Estimate Marital Status Females 15 Years And Over Never Married,146,70,21.8,8.5
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",378,69,56.4,8.1
Estimate Marital Status Females 15 Years And Over Separated,7,8,1.0,1.2
Estimate Marital Status Females 15 Years And Over Widowed,44,24,6.6,3.5
Estimate Marital Status Females 15 Years And Over Divorced,95,31,14.2,4.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,10,14,10,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,100.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,226,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",29,41,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,461,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,334,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",50,69,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,8,8,8,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,414,135,414,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",24,15,5.8,3.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,31,24,7.5,4.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),213,100,51.4,13.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),80,47,19.3,10.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,66,36,15.9,7.3
Estimate Educational Attainment Population 25 Years And Over,1245,143,1245,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,8,9,0.6,0.7
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",59,30,4.7,2.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),453,100,36.4,7.2
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",240,68,19.3,5.1
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,135,47,10.8,3.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,200,57,16.1,4.0
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,150,81,12.0,6.0
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,1178,141,94.6,2.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,350,101,28.1,6.7
Estimate Veteran Status Civilian Population 18 Years And Over,1328,153,1328,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,178,54,13.4,3.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,1748,231,1748,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,162,51,9.3,3.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,420,121,420,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,40,39,9.5,8.8
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,1077,144,1077,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,54,25,5.0,2.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,251,66,251,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,68,31,27.1,9.9
Estimate Residence 1 Year Ago Population 1 Year And Over,1738,231,1738,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,1664,224,95.7,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),74,42,4.3,2.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,65,41,3.7,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,52,40,3.0,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,13,12,0.7,0.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,10,9,0.6,0.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,3,6,0.2,0.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,9,15,0.5,0.8
Estimate Place Of Birth Total Population,1748,231,1748,(X)
Estimate Place Of Birth Total Population Native,1722,226,98.5,0.9
Estimate Place Of Birth Total Population Native Born In United States,1707,224,97.7,1.3
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,1287,174,73.6,4.6
Estimate Place Of Birth Total Population Native Born In United States Different State,420,109,24.0,5.0
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",15,18,0.9,1.0
Estimate Place Of Birth Total Population Foreign Born,26,16,1.5,0.9
Estimate U.S. Citizenship Status Foreign-Born Population,26,16,26,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,17,15,65.4,31.4
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,9,9,34.6,31.4
Estimate Year Of Entry Population Born Outside The United States,41,24,41,(X)
