,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4744,483,4744,(X)
Estimate Households By Type Total Households Married-Couple Household,2853,443,60.1,5.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,968,339,20.4,6.3
Estimate Households By Type Total Households Cohabiting Couple Household,234,112,4.9,2.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,75,74,1.6,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",507,158,10.7,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",30,28,0.6,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",317,113,6.7,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",155,78,3.3,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1150,228,24.2,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",157,88,3.3,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",617,148,13.0,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",393,116,8.3,2.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1368,360,28.8,6.2
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2008,328,42.3,5.3
Estimate Households By Type Total Households Average Household Size,2.52,0.16,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.81,0.19,(X),(X)
Estimate Relationship Population In Households,11967,1324,11967,(X)
Estimate Relationship Population In Households Householder,4744,483,39.6,2.5
Estimate Relationship Population In Households Spouse,2716,372,22.7,1.8
Estimate Relationship Population In Households Unmarried Partner,236,120,2.0,1.0
Estimate Relationship Population In Households Child,3014,627,25.2,3.5
Estimate Relationship Population In Households Other Relatives,632,277,5.3,2.3
Estimate Relationship Population In Households Other Nonrelatives,625,276,5.2,2.3
Estimate Marital Status Males 15 Years And Over,5072,628,5072,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1356,308,26.7,4.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3061,452,60.4,5.9
Estimate Marital Status Males 15 Years And Over Separated,61,59,1.2,1.1
Estimate Marital Status Males 15 Years And Over Widowed,94,71,1.9,1.4
Estimate Marital Status Males 15 Years And Over Divorced,500,146,9.9,2.5
Estimate Marital Status Females 15 Years And Over,5072,475,5072,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1080,239,21.3,4.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2957,367,58.3,5.1
Estimate Marital Status Females 15 Years And Over Separated,37,30,0.7,0.6
Estimate Marital Status Females 15 Years And Over Widowed,393,114,7.7,2.1
Estimate Marital Status Females 15 Years And Over Divorced,605,169,11.9,3.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,285,183,285,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",90,61,31.6,22.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",85,57,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",128,74,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,162,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",244,141,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",41,35,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,183,114,183,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,60,40,32.8,20.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,6,11,3.3,6.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,8,13,4.4,6.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,19.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,46,36,25.1,18.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,60,40,60,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,49,34,81.7,24.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,34,38,56.7,43.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School,2305,538,2305,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",108,81,4.7,3.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,136,98,5.9,3.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1106,473,48.0,11.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),437,131,19.0,6.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,518,152,22.5,7.4
Estimate Educational Attainment Population 25 Years And Over,9018,870,9018,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,119,112,1.3,1.3
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",227,120,2.5,1.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),2067,556,22.9,5.3
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1371,342,15.2,3.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1146,353,12.7,3.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2284,344,25.3,3.7
