,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5662,223,5662,(X)
Estimate Households By Type Total Households Married-Couple Household,3823,280,67.5,4.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1822,225,32.2,3.8
Estimate Households By Type Total Households Cohabiting Couple Household,226,123,4.0,2.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,29,30,0.5,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",491,118,8.7,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",53,42,0.9,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",315,83,5.6,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",92,51,1.6,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1122,234,19.8,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",221,135,3.9,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",560,161,9.9,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",313,112,5.5,1.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2211,216,39.0,3.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1421,177,25.1,2.9
Estimate Households By Type Total Households Average Household Size,2.73,0.10,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.03,0.11,(X),(X)
Estimate Relationship Population In Households,15430,92,15430,(X)
Estimate Relationship Population In Households Householder,5662,223,36.7,1.4
Estimate Relationship Population In Households Spouse,3761,264,24.4,1.7
Estimate Relationship Population In Households Unmarried Partner,256,154,1.7,1.0
Estimate Relationship Population In Households Child,4892,338,31.7,2.2
Estimate Relationship Population In Households Other Relatives,412,163,2.7,1.1
Estimate Relationship Population In Households Other Nonrelatives,447,308,2.9,2.0
Estimate Marital Status Males 15 Years And Over,5994,358,5994,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1460,257,24.4,3.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4101,270,68.4,4.3
Estimate Marital Status Males 15 Years And Over Separated,20,23,0.3,0.4
Estimate Marital Status Males 15 Years And Over Widowed,30,35,0.5,0.6
Estimate Marital Status Males 15 Years And Over Divorced,383,213,6.4,3.5
Estimate Marital Status Females 15 Years And Over,6860,374,6860,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1831,512,26.7,6.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3885,280,56.6,5.9
Estimate Marital Status Females 15 Years And Over Separated,76,60,1.1,0.9
Estimate Marital Status Females 15 Years And Over Widowed,503,134,7.3,2.0
Estimate Marital Status Females 15 Years And Over Divorced,565,181,8.2,2.6
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,101,59,101,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",23,35,22.8,29.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",13,20,(X),(X)
