,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1196,170,1196,(X)
Estimate Households By Type Total Households Married-Couple Household,662,190,55.4,13.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,311,167,26.0,13.1
Estimate Households By Type Total Households Cohabiting Couple Household,228,131,19.1,10.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,90,88,7.5,7.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",74,60,6.2,5.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",8,15,0.7,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",66,58,5.5,4.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",12,19,1.0,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",232,120,19.4,9.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",96,77,8.0,6.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",44,58,3.7,4.8
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,523,155,43.7,11.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,522,123,43.6,9.4
Estimate Households By Type Total Households Average Household Size,3.17,0.36,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.43,0.34,(X),(X)
Estimate Relationship Population In Households,3786,628,3786,(X)
Estimate Relationship Population In Households Householder,1196,170,31.6,3.7
Estimate Relationship Population In Households Spouse,653,191,17.2,4.8
Estimate Relationship Population In Households Unmarried Partner,230,133,6.1,3.4
Estimate Relationship Population In Households Child,1297,343,34.3,5.2
Estimate Relationship Population In Households Other Relatives,278,173,7.3,4.3
Estimate Relationship Population In Households Other Nonrelatives,132,128,3.5,3.2
Estimate Marital Status Males 15 Years And Over,1586,310,1586,(X)
Estimate Marital Status Males 15 Years And Over Never Married,559,221,35.2,9.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",743,178,46.8,12.0
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,2.5
Estimate Marital Status Males 15 Years And Over Widowed,12,19,0.8,1.2
Estimate Marital Status Males 15 Years And Over Divorced,272,136,17.2,7.3
Estimate Marital Status Females 15 Years And Over,1556,270,1556,(X)
Estimate Marital Status Females 15 Years And Over Never Married,336,180,21.6,9.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",743,181,47.8,11.6
Estimate Marital Status Females 15 Years And Over Separated,34,53,2.2,3.4
Estimate Marital Status Females 15 Years And Over Widowed,128,89,8.2,5.4
Estimate Marital Status Females 15 Years And Over Divorced,315,145,20.2,8.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,74,68,74,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,38.2
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,117,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",110,102,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,331,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",457,352,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,91,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,160,116,160,(X)
