,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4689,278,4689,(X)
Estimate Households By Type Total Households Married-Couple Household,2034,274,43.4,6.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,516,137,11.0,3.0
Estimate Households By Type Total Households Cohabiting Couple Household,289,110,6.2,2.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,94,84,2.0,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1041,217,22.2,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",108,108,2.3,2.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",815,195,17.4,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",166,91,3.5,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1325,271,28.3,5.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",440,197,9.4,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",687,172,14.7,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",278,111,5.9,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1362,203,29.0,4.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1279,171,27.3,3.4
Estimate Households By Type Total Households Average Household Size,2.23,0.13,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.80,0.19,(X),(X)
Estimate Relationship Population In Households,10436,113,10436,(X)
Estimate Relationship Population In Households Householder,4689,278,44.9,2.6
Estimate Relationship Population In Households Spouse,1930,260,18.5,2.5
Estimate Relationship Population In Households Unmarried Partner,283,102,2.7,1.0
Estimate Relationship Population In Households Child,2810,444,26.9,4.3
Estimate Relationship Population In Households Other Relatives,536,208,5.1,2.0
Estimate Relationship Population In Households Other Nonrelatives,188,134,1.8,1.3
Estimate Marital Status Males 15 Years And Over,4323,388,4323,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1487,307,34.4,5.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2149,289,49.7,6.1
Estimate Marital Status Males 15 Years And Over Separated,64,57,1.5,1.3
Estimate Marital Status Males 15 Years And Over Widowed,84,70,1.9,1.7
Estimate Marital Status Males 15 Years And Over Divorced,539,175,12.5,4.0
Estimate Marital Status Females 15 Years And Over,4349,294,4349,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1291,288,29.7,5.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1968,267,45.3,6.7
Estimate Marital Status Females 15 Years And Over Separated,61,50,1.4,1.2
Estimate Marital Status Females 15 Years And Over Widowed,474,151,10.9,3.3
Estimate Marital Status Females 15 Years And Over Divorced,555,192,12.8,4.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,75,59,75,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",33,38,44.0,44.6
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",22,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",33,26,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,106,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",64,55,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",8,12,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,232,125,232,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,129,96,55.6,21.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,15.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,15.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,27,38,11.6,17.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,102,94,44.0,26.6
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,129,96,129,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,83,68,64.3,24.7
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,115,93,89.1,16.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School,2420,477,2420,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",63,43,2.6,1.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,113,94,4.7,4.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1015,233,41.9,10.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),859,376,35.5,10.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,370,190,15.3,7.2
Estimate Educational Attainment Population 25 Years And Over,7258,433,7258,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,144,82,2.0,1.1
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",454,170,6.3,2.3
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),2846,405,39.2,4.7
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1516,275,20.9,3.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,657,187,9.1,2.7
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1116,255,15.4,3.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,525,175,7.2,2.4
