,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2202,116,2202,(X)
Estimate Households By Type Total Households Married-Couple Household,1564,177,71.0,7.6
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,766,180,34.8,7.8
Estimate Households By Type Total Households Cohabiting Couple Household,31,35,1.4,1.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,19,0.0,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",214,117,9.7,5.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",76,83,3.5,3.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",111,71,5.0,3.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",94,63,4.3,2.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",393,138,17.8,6.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",46,77,2.1,3.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",261,112,11.9,4.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",261,112,11.9,4.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,915,137,41.6,5.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,956,130,43.4,5.5
Estimate Households By Type Total Households Average Household Size,2.89,0.13,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.24,0.16,(X),(X)
Estimate Relationship Population In Households,6367,141,6367,(X)
Estimate Relationship Population In Households Householder,2202,116,34.6,1.6
Estimate Relationship Population In Households Spouse,1539,171,24.2,2.6
Estimate Relationship Population In Households Unmarried Partner,34,36,0.5,0.6
Estimate Relationship Population In Households Child,2159,205,33.9,3.2
Estimate Relationship Population In Households Other Relatives,298,155,4.7,2.4
Estimate Relationship Population In Households Other Nonrelatives,135,129,2.1,2.0
Estimate Marital Status Males 15 Years And Over,2643,161,2643,(X)
Estimate Marital Status Males 15 Years And Over Never Married,776,180,29.4,5.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1656,166,62.7,6.8
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.5
Estimate Marital Status Males 15 Years And Over Widowed,16,26,0.6,1.0
