,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,11363,597,11363,(X)
Estimate Households By Type Total Households Married-Couple Household,3303,350,29.1,3.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1087,142,9.6,1.3
Estimate Households By Type Total Households Cohabiting Couple Household,1405,218,12.4,1.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,21,24,0.2,0.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2893,425,25.5,3.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",4,7,0.0,0.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1646,407,14.5,3.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",258,116,2.3,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3762,473,33.1,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",306,118,2.7,1.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2210,364,19.4,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",713,184,6.3,1.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1454,173,12.8,1.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1960,224,17.2,2.0
Estimate Households By Type Total Households Average Household Size,2.19,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.74,0.16,(X),(X)
Estimate Relationship Population In Households,24866,1416,24866,(X)
Estimate Relationship Population In Households Householder,11363,597,45.7,1.8
Estimate Relationship Population In Households Spouse,3330,353,13.4,1.3
Estimate Relationship Population In Households Unmarried Partner,1429,222,5.7,0.9
Estimate Relationship Population In Households Child,3212,700,12.9,2.4
Estimate Relationship Population In Households Other Relatives,423,159,1.7,0.6
Estimate Relationship Population In Households Other Nonrelatives,5109,705,20.5,2.5
Estimate Marital Status Males 15 Years And Over,11390,741,11390,(X)
Estimate Marital Status Males 15 Years And Over Never Married,7157,652,62.8,3.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3426,369,30.1,3.0
Estimate Marital Status Males 15 Years And Over Separated,136,94,1.2,0.8
Estimate Marital Status Males 15 Years And Over Widowed,187,96,1.6,0.8
Estimate Marital Status Males 15 Years And Over Divorced,484,145,4.2,1.2
Estimate Marital Status Females 15 Years And Over,11747,971,11747,(X)
Estimate Marital Status Females 15 Years And Over Never Married,6948,955,59.1,4.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3537,399,30.1,3.8
Estimate Marital Status Females 15 Years And Over Separated,35,29,0.3,0.3
Estimate Marital Status Females 15 Years And Over Widowed,608,156,5.2,1.4
Estimate Marital Status Females 15 Years And Over Divorced,619,182,5.3,1.6
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,301,126,301,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",47,47,15.6,13.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",7,7,(X),(X)
