,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4025,439,4025,(X)
Estimate Households By Type Total Households Married-Couple Household,565,127,14.0,3.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,130,87,3.2,2.2
Estimate Households By Type Total Households Cohabiting Couple Household,429,189,10.7,4.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,19,0.0,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1293,234,32.1,6.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",21,44,0.5,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",884,172,22.0,4.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",101,61,2.5,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1738,415,43.2,7.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",11,17,0.3,0.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1214,309,30.2,6.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",195,110,4.8,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,171,101,4.2,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,416,116,10.3,2.8
Estimate Households By Type Total Households Average Household Size,1.66,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.50,0.20,(X),(X)
Estimate Relationship Population In Households,6692,790,6692,(X)
Estimate Relationship Population In Households Householder,4025,439,60.1,3.3
Estimate Relationship Population In Households Spouse,565,117,8.4,1.7
Estimate Relationship Population In Households Unmarried Partner,381,164,5.7,2.2
Estimate Relationship Population In Households Child,333,143,5.0,2.0
Estimate Relationship Population In Households Other Relatives,92,83,1.4,1.2
Estimate Relationship Population In Households Other Nonrelatives,1296,314,19.4,3.6
Estimate Marital Status Males 15 Years And Over,2969,459,2969,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2179,429,73.4,5.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",604,127,20.3,4.6
Estimate Marital Status Males 15 Years And Over Separated,43,58,1.4,1.9
Estimate Marital Status Males 15 Years And Over Widowed,8,13,0.3,0.4
Estimate Marital Status Males 15 Years And Over Divorced,135,96,4.5,3.2
Estimate Marital Status Females 15 Years And Over,3499,708,3499,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2583,675,73.8,6.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",580,131,16.6,4.5
Estimate Marital Status Females 15 Years And Over Separated,46,49,1.3,1.4
Estimate Marital Status Females 15 Years And Over Widowed,98,71,2.8,2.0
Estimate Marital Status Females 15 Years And Over Divorced,192,124,5.5,3.6
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,19,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,19,-666666666.0,-222222222.0
