,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3713,283,3713,(X)
Estimate Households By Type Total Households Married-Couple Household,1971,244,53.1,6.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,750,134,20.2,3.7
Estimate Households By Type Total Households Cohabiting Couple Household,416,245,11.2,6.2
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,257,220,6.9,5.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",546,138,14.7,3.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",70,59,1.9,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",448,131,12.1,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",148,74,4.0,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",780,148,21.0,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",134,77,3.6,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",500,128,13.5,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",280,116,7.5,3.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1328,258,35.8,5.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1369,240,36.9,6.2
Estimate Households By Type Total Households Average Household Size,2.60,0.18,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.11,0.29,(X),(X)
Estimate Relationship Population In Households,9649,953,9649,(X)
Estimate Relationship Population In Households Householder,3713,283,38.5,2.8
Estimate Relationship Population In Households Spouse,2013,272,20.9,2.1
Estimate Relationship Population In Households Unmarried Partner,343,172,3.6,1.8
Estimate Relationship Population In Households Child,2709,309,28.1,2.6
Estimate Relationship Population In Households Other Relatives,791,501,8.2,4.7
Estimate Relationship Population In Households Other Nonrelatives,80,51,0.8,0.5
Estimate Marital Status Males 15 Years And Over,4068,424,4068,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1212,307,29.8,6.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2254,370,55.4,6.4
Estimate Marital Status Males 15 Years And Over Separated,74,61,1.8,1.5
Estimate Marital Status Males 15 Years And Over Widowed,127,63,3.1,1.5
Estimate Marital Status Males 15 Years And Over Divorced,401,129,9.9,3.3
Estimate Marital Status Females 15 Years And Over,3961,405,3961,(X)
Estimate Marital Status Females 15 Years And Over Never Married,925,271,23.4,6.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2185,373,55.2,7.4
Estimate Marital Status Females 15 Years And Over Separated,79,54,2.0,1.4
Estimate Marital Status Females 15 Years And Over Widowed,146,74,3.7,1.9
Estimate Marital Status Females 15 Years And Over Divorced,626,174,15.8,4.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,216,254,216,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",179,249,82.9,33.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",207,243,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",106,117,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,136,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",289,286,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",20,28,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,406,292,406,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,19,0.0,9.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,9.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,19,0.0,9.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,9.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,9.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,19,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,19,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,19,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,2165,282,2165,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",171,103,7.9,4.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,99,129,4.6,5.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),996,189,46.0,8.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),529,175,24.4,7.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,370,132,17.1,5.8
Estimate Educational Attainment Population 25 Years And Over,7078,704,7078,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,140,106,2.0,1.5
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",165,102,2.3,1.5
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1553,300,21.9,4.5
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1553,552,21.9,6.5
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,659,170,9.3,2.3
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,1504,323,21.2,3.9
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1504,302,21.2,4.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,6773,714,95.7,1.8
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,3008,441,42.5,5.5
Estimate Veteran Status Civilian Population 18 Years And Over,7715,723,7715,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,312,106,4.0,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,9676,954,9676,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1245,292,12.9,3.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,1976,303,1976,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,120,83,6.1,4.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,5766,571,5766,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,629,181,10.9,3.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,1934,318,1934,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,496,173,25.6,8.7
Estimate Residence 1 Year Ago Population 1 Year And Over,9580,944,9580,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,8684,1034,90.6,5.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),896,482,9.4,5.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,870,482,9.1,5.0
