,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,18792,515,18792,(X)
Estimate Households By Type Total Households Married-Couple Household,9501,497,50.6,2.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,3627,386,19.3,2.2
Estimate Households By Type Total Households Cohabiting Couple Household,1185,252,6.3,1.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,410,163,2.2,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",2644,387,14.1,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",357,166,1.9,0.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",1587,293,8.4,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",629,164,3.3,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",5462,497,29.1,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",1215,272,6.5,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2570,348,13.7,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1452,269,7.7,1.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,6251,412,33.3,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,6234,515,33.2,2.5
Estimate Households By Type Total Households Average Household Size,2.77,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.24,0.09,(X),(X)
Estimate Relationship Population In Households,52034,158,52034,(X)
Estimate Relationship Population In Households Householder,18792,515,36.1,1.0
Estimate Relationship Population In Households Spouse,9794,508,18.8,1.0
Estimate Relationship Population In Households Unmarried Partner,1310,298,2.5,0.6
Estimate Relationship Population In Households Child,16764,647,32.2,1.2
Estimate Relationship Population In Households Other Relatives,3974,592,7.6,1.1
Estimate Relationship Population In Households Other Nonrelatives,1400,392,2.7,0.8
Estimate Marital Status Males 15 Years And Over,20722,866,20722,(X)
Estimate Marital Status Males 15 Years And Over Never Married,8035,757,38.8,2.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",10225,480,49.3,2.7
Estimate Marital Status Males 15 Years And Over Separated,323,184,1.6,0.9
Estimate Marital Status Males 15 Years And Over Widowed,427,126,2.1,0.6
Estimate Marital Status Males 15 Years And Over Divorced,1712,319,8.3,1.5
Estimate Marital Status Females 15 Years And Over,22963,779,22963,(X)
Estimate Marital Status Females 15 Years And Over Never Married,7531,632,32.8,2.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",10371,507,45.2,2.3
Estimate Marital Status Females 15 Years And Over Separated,568,192,2.5,0.8
