,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,1236,181,1236,(X)
Estimate Households By Type Total Households Married-Couple Household,718,137,58.1,9.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,243,89,19.7,7.3
Estimate Households By Type Total Households Cohabiting Couple Household,94,62,7.6,4.9
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,80,58,6.5,4.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",118,74,9.5,5.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",33,46,2.7,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",75,58,6.1,4.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",10,17,0.8,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",306,102,24.8,6.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",87,69,7.0,5.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",163,89,13.2,6.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",94,67,7.6,5.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,452,122,36.6,8.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,345,93,27.9,6.5
Estimate Households By Type Total Households Average Household Size,2.59,0.24,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.86,0.23,(X),(X)
Estimate Relationship Population In Households,3204,451,3204,(X)
Estimate Relationship Population In Households Householder,1236,181,38.6,3.6
Estimate Relationship Population In Households Spouse,715,138,22.3,3.9
Estimate Relationship Population In Households Unmarried Partner,85,57,2.7,1.7
Estimate Relationship Population In Households Child,1007,255,31.4,5.4
Estimate Relationship Population In Households Other Relatives,64,37,2.0,1.2
Estimate Relationship Population In Households Other Nonrelatives,97,78,3.0,2.4
Estimate Marital Status Males 15 Years And Over,1154,193,1154,(X)
Estimate Marital Status Males 15 Years And Over Never Married,346,135,30.0,9.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",719,134,62.3,9.6
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,3.4
Estimate Marital Status Males 15 Years And Over Widowed,10,17,0.9,1.5
Estimate Marital Status Males 15 Years And Over Divorced,79,63,6.8,5.3
Estimate Marital Status Females 15 Years And Over,1468,219,1468,(X)
Estimate Marital Status Females 15 Years And Over Never Married,336,121,22.9,6.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",734,139,50.0,8.5
Estimate Marital Status Females 15 Years And Over Separated,20,23,1.4,1.6
Estimate Marital Status Females 15 Years And Over Widowed,127,61,8.7,3.9
Estimate Marital Status Females 15 Years And Over Divorced,251,100,17.1,6.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,0,13,0,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,-666666666.0,-222222222.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,81,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",0,45,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,249,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,134,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,84,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,13,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,13,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,13,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,827,219,827,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",55,49,6.7,6.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,11,18,1.3,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),366,152,44.3,16.1
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),243,111,29.4,11.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,152,118,18.4,11.9
Estimate Educational Attainment Population 25 Years And Over,2183,296,2183,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,0,13,0.0,1.8
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",78,61,3.6,2.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),325,113,14.9,4.5
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",597,167,27.3,6.4
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,191,90,8.7,4.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,748,176,34.3,6.6
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,244,90,11.2,3.9
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,2105,304,96.4,2.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,992,193,45.4,6.5
Estimate Veteran Status Civilian Population 18 Years And Over,2396,326,2396,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,94,57,3.9,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,3191,449,3191,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,143,75,4.5,2.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,795,213,795,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,0,13,0.0,4.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,1892,288,1892,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,59,37,3.1,2.0
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,504,156,504,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,84,64,16.7,12.2
Estimate Residence 1 Year Ago Population 1 Year And Over,3204,451,3204,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,2978,438,92.9,3.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),226,117,7.1,3.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,226,117,7.1,3.6
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,83,75,2.6,2.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,143,101,4.5,3.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,143,101,4.5,3.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,0,13,0.0,1.2
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,0,13,0.0,1.2
Estimate Place Of Birth Total Population,3204,451,3204,(X)
Estimate Place Of Birth Total Population Native,3000,414,93.6,3.8
Estimate Place Of Birth Total Population Native Born In United States,3000,414,93.6,3.8
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,2463,401,76.9,5.7
Estimate Place Of Birth Total Population Native Born In United States Different State,537,161,16.8,5.1
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",0,13,0.0,1.2
Estimate Place Of Birth Total Population Foreign Born,204,132,6.4,3.8
Estimate U.S. Citizenship Status Foreign-Born Population,204,132,204,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,81,58,39.7,29.6
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,123,117,60.3,29.6
Estimate Year Of Entry Population Born Outside The United States,204,132,204,(X)
Estimate Year Of Entry Population Born Outside The United States Native,0,13,0,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,0,13,-666666666.0,-222222222.0
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,0,13,-666666666.0,-222222222.0
Estimate Year Of Entry Population Born Outside The United States Foreign Born,204,132,204,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,23,36,11.3,21.5
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,181,140,88.7,21.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",204,132,204,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",52,45,25.5,29.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",101,127,49.5,41.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",0,13,0.0,17.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,13,0.0,17.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",39,47,19.1,22.1
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",12,19,5.9,9.6
Estimate Language Spoken At Home Population 5 Years And Over,3110,439,3110,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,2905,402,93.4,4.0
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,205,134,6.6,4.0
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",49,64,1.6,2.0
Estimate Language Spoken At Home Population 5 Years And Over Spanish,69,61,2.2,1.9
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",9,13,0.3,0.4
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,136,119,4.4,3.7
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",40,62,1.3,2.0
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,0,13,0.0,1.3
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",0,13,0.0,1.3
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,0,13,0.0,1.3
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",0,13,0.0,1.3
Estimate Ancestry Total Population,3204,451,3204,(X)
Estimate Ancestry Total Population American,66,50,2.1,1.5
Estimate Ancestry Total Population Arab,33,39,1.0,1.2
Estimate Ancestry Total Population Czech,23,35,0.7,1.1
Estimate Ancestry Total Population Danish,0,13,0.0,1.2
Estimate Ancestry Total Population Dutch,40,57,1.2,1.8
Estimate Ancestry Total Population English,357,169,11.1,5.0
Estimate Ancestry Total Population French (Except Basque),133,83,4.2,2.6
Estimate Ancestry Total Population French Canadian,14,22,0.4,0.7
Estimate Ancestry Total Population German,381,211,11.9,6.4
Estimate Ancestry Total Population Greek,9,13,0.3,0.4
Estimate Ancestry Total Population Hungarian,11,17,0.3,0.5
Estimate Ancestry Total Population Irish,1045,309,32.6,8.4
Estimate Ancestry Total Population Italian,845,324,26.4,8.9
Estimate Ancestry Total Population Lithuanian,20,24,0.6,0.8
Estimate Ancestry Total Population Norwegian,11,17,0.3,0.5
Estimate Ancestry Total Population Polish,174,129,5.4,4.1
Estimate Ancestry Total Population Portuguese,157,92,4.9,3.1
Estimate Ancestry Total Population Russian,10,16,0.3,0.5
Estimate Ancestry Total Population Scotch-Irish,9,14,0.3,0.4
Estimate Ancestry Total Population Scottish,122,71,3.8,2.2
Estimate Ancestry Total Population Slovak,0,13,0.0,1.2
Estimate Ancestry Total Population Subsaharan African,51,67,1.6,2.1
Estimate Ancestry Total Population Swedish,122,81,3.8,2.7
Estimate Ancestry Total Population Swiss,0,13,0.0,1.2
Estimate Ancestry Total Population Ukrainian,0,13,0.0,1.2
Estimate Ancestry Total Population Welsh,36,37,1.1,1.2
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),0,13,0.0,1.2
Estimate Computers And Internet Use Total Households,1236,181,1236,(X)
Estimate Computers And Internet Use Total Households With A Computer,1216,178,98.4,1.7
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,1196,176,96.8,2.8
