,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,478,91,478,(X)
Estimate Households By Type Total Households Married-Couple Household,440,86,92.1,5.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,386,82,80.8,8.0
Estimate Households By Type Total Households Cohabiting Couple Household,0,13,0.0,8.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,13,0.0,8.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",9,11,1.9,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",4,7,0.8,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",5,8,1.0,1.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,8.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",29,22,6.1,4.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",19,18,4.0,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",10,13,2.1,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",0,13,0.0,8.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,409,85,85.6,7.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,0,13,0.0,8.0
Estimate Households By Type Total Households Average Household Size,3.87,0.62,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.95,0.60,(X),(X)
Estimate Relationship Population In Households,1852,486,1852,(X)
Estimate Relationship Population In Households Householder,478,91,25.8,4.2
Estimate Relationship Population In Households Spouse,450,101,24.3,2.8
Estimate Relationship Population In Households Unmarried Partner,0,13,0.0,2.1
Estimate Relationship Population In Households Child,904,333,48.8,6.8
Estimate Relationship Population In Households Other Relatives,11,16,0.6,0.9
Estimate Relationship Population In Households Other Nonrelatives,9,18,0.5,0.9
Estimate Marital Status Males 15 Years And Over,558,136,558,(X)
Estimate Marital Status Males 15 Years And Over Never Married,93,64,16.7,9.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",461,103,82.6,9.3
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,6.9
Estimate Marital Status Males 15 Years And Over Widowed,0,13,0.0,6.9
Estimate Marital Status Males 15 Years And Over Divorced,4,7,0.7,1.2
Estimate Marital Status Females 15 Years And Over,527,104,527,(X)
Estimate Marital Status Females 15 Years And Over Never Married,68,58,12.9,9.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",435,82,82.5,10.4
Estimate Marital Status Females 15 Years And Over Separated,0,13,0.0,7.3
Estimate Marital Status Females 15 Years And Over Widowed,0,13,0.0,7.3
Estimate Marital Status Females 15 Years And Over Divorced,24,23,4.6,4.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,17,23,17,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,79.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,364,(X),(X)
