,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,16799,719,16799,(X)
Estimate Households By Type Total Households Married-Couple Household,4540,539,27.0,2.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1504,289,9.0,1.7
Estimate Households By Type Total Households Cohabiting Couple Household,1767,306,10.5,1.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,95,64,0.6,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",4283,468,25.5,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",72,73,0.4,0.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",2826,430,16.8,2.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",387,137,2.3,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",6209,508,37.0,2.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",673,145,4.0,0.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",3182,449,18.9,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",779,239,4.6,1.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2541,351,15.1,2.0
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2357,304,14.0,1.7
Estimate Households By Type Total Households Average Household Size,2.08,0.06,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.76,0.11,(X),(X)
Estimate Relationship Population In Households,34918,1800,34918,(X)
Estimate Relationship Population In Households Householder,16799,719,48.1,1.4
Estimate Relationship Population In Households Spouse,4531,532,13.0,1.2
Estimate Relationship Population In Households Unmarried Partner,1809,307,5.2,0.9
Estimate Relationship Population In Households Child,5416,708,15.5,1.6
Estimate Relationship Population In Households Other Relatives,1338,358,3.8,1.0
Estimate Relationship Population In Households Other Nonrelatives,5025,632,14.4,1.7
Estimate Marital Status Males 15 Years And Over,14633,952,14633,(X)
Estimate Marital Status Males 15 Years And Over Never Married,8530,789,58.3,3.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4945,591,33.8,3.4
Estimate Marital Status Males 15 Years And Over Separated,167,104,1.1,0.7
Estimate Marital Status Males 15 Years And Over Widowed,247,110,1.7,0.8
Estimate Marital Status Males 15 Years And Over Divorced,744,259,5.1,1.7
Estimate Marital Status Females 15 Years And Over,16904,1004,16904,(X)
Estimate Marital Status Females 15 Years And Over Never Married,9774,827,57.8,3.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4960,519,29.3,2.8
Estimate Marital Status Females 15 Years And Over Separated,437,201,2.6,1.2
Estimate Marital Status Females 15 Years And Over Widowed,716,227,4.2,1.3
Estimate Marital Status Females 15 Years And Over Divorced,1017,220,6.0,1.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,430,136,430,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",40,41,9.3,8.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",4,4,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",34,11,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,89,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",30,12,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",47,21,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,271,108,271,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,153,89,56.5,22.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,30,45,11.1,16.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,28,0.0,13.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,13,23,4.8,8.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,110,72,40.6,19.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,153,89,153,(X)
