,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,4744,224,4744,(X)
Estimate Households By Type Total Households Married-Couple Household,3356,237,70.7,4.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1765,187,37.2,4.4
Estimate Households By Type Total Households Cohabiting Couple Household,179,104,3.8,2.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,21,26,0.4,0.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",346,149,7.3,3.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",8,14,0.2,0.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",257,118,5.4,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",140,81,3.0,1.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",863,181,18.2,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",162,108,3.4,2.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",428,138,9.0,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",380,129,8.0,2.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2040,187,43.0,4.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1622,194,34.2,3.8
Estimate Households By Type Total Households Average Household Size,3.08,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.44,0.15,(X),(X)
Estimate Relationship Population In Households,14605,51,14605,(X)
Estimate Relationship Population In Households Householder,4744,224,32.5,1.5
Estimate Relationship Population In Households Spouse,3294,228,22.6,1.6
Estimate Relationship Population In Households Unmarried Partner,181,102,1.2,0.7
Estimate Relationship Population In Households Child,5566,307,38.1,2.1
Estimate Relationship Population In Households Other Relatives,740,265,5.1,1.8
Estimate Relationship Population In Households Other Nonrelatives,80,61,0.5,0.4
Estimate Marital Status Males 15 Years And Over,5799,335,5799,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1939,353,33.4,4.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3593,206,62.0,4.5
Estimate Marital Status Males 15 Years And Over Separated,13,21,0.2,0.4
Estimate Marital Status Males 15 Years And Over Widowed,125,68,2.2,1.2
Estimate Marital Status Males 15 Years And Over Divorced,129,75,2.2,1.3
Estimate Marital Status Females 15 Years And Over,6032,346,6032,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1498,290,24.8,3.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3492,213,57.9,4.6
Estimate Marital Status Females 15 Years And Over Separated,171,108,2.8,1.8
Estimate Marital Status Females 15 Years And Over Widowed,463,148,7.7,2.3
Estimate Marital Status Females 15 Years And Over Divorced,408,125,6.8,2.0
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,129,70,129,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,26.2
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,26,(X),(X)
