,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8678,350,8678,(X)
Estimate Households By Type Total Households Married-Couple Household,5541,390,63.9,3.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2902,260,33.4,3.2
Estimate Households By Type Total Households Cohabiting Couple Household,301,109,3.5,1.3
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,103,94,1.2,1.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",993,194,11.4,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",83,72,1.0,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",772,191,8.9,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",189,133,2.2,1.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1843,315,21.2,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",361,215,4.2,2.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1146,251,13.2,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",648,210,7.5,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3494,222,40.3,3.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2544,295,29.3,2.9
Estimate Households By Type Total Households Average Household Size,2.65,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.14,0.10,(X),(X)
Estimate Relationship Population In Households,22963,328,22963,(X)
Estimate Relationship Population In Households Householder,8678,350,37.8,1.6
Estimate Relationship Population In Households Spouse,5518,380,24.0,1.6
Estimate Relationship Population In Households Unmarried Partner,311,111,1.4,0.5
Estimate Relationship Population In Households Child,7500,466,32.7,1.9
Estimate Relationship Population In Households Other Relatives,728,301,3.2,1.3
Estimate Relationship Population In Households Other Nonrelatives,228,92,1.0,0.4
Estimate Marital Status Males 15 Years And Over,8687,563,8687,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2125,296,24.5,2.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",5946,405,68.4,2.8
Estimate Marital Status Males 15 Years And Over Separated,25,32,0.3,0.4
Estimate Marital Status Males 15 Years And Over Widowed,117,60,1.3,0.7
Estimate Marital Status Males 15 Years And Over Divorced,474,169,5.5,1.9
Estimate Marital Status Females 15 Years And Over,9986,471,9986,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2614,478,26.2,4.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",5788,361,58.0,5.1
Estimate Marital Status Females 15 Years And Over Separated,28,27,0.3,0.3
Estimate Marital Status Females 15 Years And Over Widowed,755,269,7.6,2.5
Estimate Marital Status Females 15 Years And Over Divorced,801,238,8.0,2.3
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,197,84,197,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,25,0.0,18.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,15,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",36,16,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,33,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",66,41,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",38,22,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,212,103,212,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,25,0.0,17.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,17.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,25,0.0,17.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,25,0.0,17.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,25,0.0,17.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,25,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,25,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,25,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,6582,488,6582,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",555,178,8.4,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,227,107,3.4,1.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2702,361,41.1,3.9
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1975,264,30.0,3.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1123,228,17.1,3.4
Estimate Educational Attainment Population 25 Years And Over,15714,507,15714,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,233,143,1.5,0.9
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",275,109,1.8,0.7
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),1087,227,6.9,1.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",1417,276,9.0,1.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,674,146,4.3,0.9
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,5362,482,34.1,3.1
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,6666,573,42.4,3.4
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,15206,518,96.8,1.1
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,12028,467,76.5,2.6
Estimate Veteran Status Civilian Population 18 Years And Over,17115,440,17115,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,922,217,5.4,1.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,22982,331,22982,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,1648,287,7.2,1.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,5973,441,5973,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,172,77,2.9,1.2
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,13342,435,13342,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,713,202,5.3,1.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,3667,382,3667,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,763,199,20.8,4.8
Estimate Residence 1 Year Ago Population 1 Year And Over,22918,356,22918,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,19449,987,84.9,4.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),3469,1037,15.1,4.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,3271,1027,14.3,4.4
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,2520,989,11.0,4.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,751,311,3.3,1.3
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,309,194,1.3,0.8
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,442,241,1.9,1.0
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,198,93,0.9,0.4
Estimate Place Of Birth Total Population,23107,347,23107,(X)
Estimate Place Of Birth Total Population Native,16869,629,73.0,2.5
Estimate Place Of Birth Total Population Native Born In United States,16426,696,71.1,2.9
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,9805,630,42.4,2.7
Estimate Place Of Birth Total Population Native Born In United States Different State,6621,600,28.7,2.6
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",443,283,1.9,1.2
Estimate Place Of Birth Total Population Foreign Born,6238,598,27.0,2.5
Estimate U.S. Citizenship Status Foreign-Born Population,6238,598,6238,(X)
Estimate U.S. Citizenship Status Foreign-Born Population Naturalized U.S. Citizen,3101,402,49.7,6.1
Estimate U.S. Citizenship Status Foreign-Born Population Not A U.S. Citizen,3137,548,50.3,6.1
Estimate Year Of Entry Population Born Outside The United States,6681,676,6681,(X)
Estimate Year Of Entry Population Born Outside The United States Native,443,283,443,(X)
Estimate Year Of Entry Population Born Outside The United States Native Entered 2010 Or Later,149,147,33.6,15.8
Estimate Year Of Entry Population Born Outside The United States Native Entered Before 2010,294,150,66.4,15.8
Estimate Year Of Entry Population Born Outside The United States Foreign Born,6238,598,6238,(X)
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered 2010 Or Later,2345,545,37.6,6.7
Estimate Year Of Entry Population Born Outside The United States Foreign Born Entered Before 2010,3893,425,62.4,6.7
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea",6238,598,6238,(X)
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Europe",968,273,15.5,4.2
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Asia",3810,474,61.1,7.0
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Africa",521,434,8.4,6.8
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Oceania",0,25,0.0,0.6
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Latin America",903,366,14.5,5.5
"Estimate World Region Of Birth Of Foreign Born Foreign-Born Population, Excluding Population Born At Sea Northern America",36,30,0.6,0.5
Estimate Language Spoken At Home Population 5 Years And Over,22012,359,22012,(X)
Estimate Language Spoken At Home Population 5 Years And Over English Only,14919,940,67.8,4.5
Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English,7093,1031,32.2,4.5
"Estimate Language Spoken At Home Population 5 Years And Over Language Other Than English Speak English Less Than ""Very Well""",1940,450,8.8,2.0
Estimate Language Spoken At Home Population 5 Years And Over Spanish,374,209,1.7,0.9
"Estimate Language Spoken At Home Population 5 Years And Over Spanish Speak English Less Than ""Very Well""",122,133,0.6,0.6
Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages,2647,622,12.0,2.8
"Estimate Language Spoken At Home Population 5 Years And Over Other Indo-European Languages Speak English Less Than ""Very Well""",901,372,4.1,1.7
Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages,3222,485,14.6,2.2
"Estimate Language Spoken At Home Population 5 Years And Over Asian And Pacific Islander Languages Speak English Less Than ""Very Well""",917,224,4.2,1.0
Estimate Language Spoken At Home Population 5 Years And Over Other Languages,850,914,3.9,4.1
"Estimate Language Spoken At Home Population 5 Years And Over Other Languages Speak English Less Than ""Very Well""",0,25,0.0,0.2
Estimate Ancestry Total Population,23107,347,23107,(X)
Estimate Ancestry Total Population American,464,184,2.0,0.8
Estimate Ancestry Total Population Arab,22,26,0.1,0.1
Estimate Ancestry Total Population Czech,98,76,0.4,0.3
Estimate Ancestry Total Population Danish,41,28,0.2,0.1
Estimate Ancestry Total Population Dutch,132,64,0.6,0.3
Estimate Ancestry Total Population English,2411,468,10.4,2.0
Estimate Ancestry Total Population French (Except Basque),957,460,4.1,2.0
Estimate Ancestry Total Population French Canadian,445,108,1.9,0.5
Estimate Ancestry Total Population German,2117,382,9.2,1.7
Estimate Ancestry Total Population Greek,105,67,0.5,0.3
Estimate Ancestry Total Population Hungarian,83,67,0.4,0.3
Estimate Ancestry Total Population Irish,3696,538,16.0,2.4
Estimate Ancestry Total Population Italian,2024,408,8.8,1.8
Estimate Ancestry Total Population Lithuanian,205,169,0.9,0.7
Estimate Ancestry Total Population Norwegian,138,61,0.6,0.3
Estimate Ancestry Total Population Polish,481,164,2.1,0.7
Estimate Ancestry Total Population Portuguese,168,84,0.7,0.4
Estimate Ancestry Total Population Russian,487,169,2.1,0.7
Estimate Ancestry Total Population Scotch-Irish,195,89,0.8,0.4
Estimate Ancestry Total Population Scottish,429,159,1.9,0.7
Estimate Ancestry Total Population Slovak,42,52,0.2,0.2
Estimate Ancestry Total Population Subsaharan African,854,897,3.7,3.9
Estimate Ancestry Total Population Swedish,439,256,1.9,1.1
Estimate Ancestry Total Population Swiss,54,53,0.2,0.2
Estimate Ancestry Total Population Ukrainian,66,39,0.3,0.2
Estimate Ancestry Total Population Welsh,114,68,0.5,0.3
Estimate Ancestry Total Population West Indian (Excluding Hispanic Origin Groups),107,107,0.5,0.5
Estimate Computers And Internet Use Total Households,8678,350,8678,(X)
Estimate Computers And Internet Use Total Households With A Computer,8399,333,96.8,1.4
Estimate Computers And Internet Use Total Households With A Broadband Internet Subscription,8229,335,94.8,1.9
