,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,9455,621,9455,(X)
Estimate Households By Type Total Households Married-Couple Household,1118,189,11.8,2.0
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,190,90,2.0,1.0
Estimate Households By Type Total Households Cohabiting Couple Household,603,168,6.4,1.7
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,68,72,0.7,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",3061,363,32.4,3.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",5,9,0.1,0.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",2289,333,24.2,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",619,204,6.5,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",4673,526,49.4,4.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",491,198,5.2,2.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",3067,456,32.4,3.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",892,221,9.4,2.3
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,789,242,8.3,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2044,270,21.6,2.9
Estimate Households By Type Total Households Average Household Size,1.71,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.63,0.15,(X),(X)
Estimate Relationship Population In Households,16141,1230,16141,(X)
Estimate Relationship Population In Households Householder,9455,621,58.6,2.8
Estimate Relationship Population In Households Spouse,1143,199,7.1,1.2
Estimate Relationship Population In Households Unmarried Partner,613,164,3.8,1.0
Estimate Relationship Population In Households Child,1995,497,12.4,2.8
Estimate Relationship Population In Households Other Relatives,241,112,1.5,0.7
Estimate Relationship Population In Households Other Nonrelatives,2694,598,16.7,3.1
Estimate Marital Status Males 15 Years And Over,13402,1052,13402,(X)
Estimate Marital Status Males 15 Years And Over Never Married,11347,1009,84.7,2.2
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1416,242,10.6,1.8
Estimate Marital Status Males 15 Years And Over Separated,80,65,0.6,0.5
Estimate Marital Status Males 15 Years And Over Widowed,187,101,1.4,0.8
Estimate Marital Status Males 15 Years And Over Divorced,372,160,2.8,1.2
Estimate Marital Status Females 15 Years And Over,13935,1008,13935,(X)
Estimate Marital Status Females 15 Years And Over Never Married,11274,1018,80.9,2.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1243,202,8.9,1.4
Estimate Marital Status Females 15 Years And Over Separated,173,102,1.2,0.7
Estimate Marital Status Females 15 Years And Over Widowed,612,224,4.4,1.6
Estimate Marital Status Females 15 Years And Over Divorced,633,199,4.5,1.5
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,108,77,108,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",86,67,79.6,30.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",8,6,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",9,7,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,10,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",16,12,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",7,10,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,47,43,47,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,25,38,53.2,48.8
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,48.0
