,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2355,229,2355,(X)
Estimate Households By Type Total Households Married-Couple Household,1017,158,43.2,7.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,258,99,11.0,4.5
Estimate Households By Type Total Households Cohabiting Couple Household,92,55,3.9,2.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,2,3,0.1,0.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",473,127,20.1,5.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",30,36,1.3,1.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",396,115,16.8,4.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",61,45,2.6,1.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",773,233,32.8,8.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",155,82,6.6,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",432,213,18.3,8.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",212,121,9.0,4.9
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,492,127,20.9,5.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,777,147,33.0,6.1
Estimate Households By Type Total Households Average Household Size,2.15,0.18,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.76,0.21,(X),(X)
Estimate Relationship Population In Households,5071,365,5071,(X)
Estimate Relationship Population In Households Householder,2355,229,46.4,3.9
Estimate Relationship Population In Households Spouse,1027,191,20.3,3.3
Estimate Relationship Population In Households Unmarried Partner,95,56,1.9,1.1
Estimate Relationship Population In Households Child,1176,249,23.2,4.3
Estimate Relationship Population In Households Other Relatives,201,148,4.0,2.9
Estimate Relationship Population In Households Other Nonrelatives,217,121,4.3,2.4
Estimate Marital Status Males 15 Years And Over,2311,253,2311,(X)
Estimate Marital Status Males 15 Years And Over Never Married,828,213,35.8,7.8
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1173,186,50.8,6.8
Estimate Marital Status Males 15 Years And Over Separated,57,49,2.5,2.1
Estimate Marital Status Males 15 Years And Over Widowed,18,26,0.8,1.1
Estimate Marital Status Males 15 Years And Over Divorced,235,120,10.2,5.0
Estimate Marital Status Females 15 Years And Over,2221,213,2221,(X)
Estimate Marital Status Females 15 Years And Over Never Married,612,224,27.6,8.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1080,158,48.6,8.1
Estimate Marital Status Females 15 Years And Over Separated,36,40,1.6,1.8
Estimate Marital Status Females 15 Years And Over Widowed,195,116,8.8,5.0
Estimate Marital Status Females 15 Years And Over Divorced,298,106,13.4,4.6
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,22,31,22,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,19,0.0,70.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,86,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",29,40,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,255,(X),(X)
