,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,8373,479,8373,(X)
Estimate Households By Type Total Households Married-Couple Household,4139,312,49.4,3.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1040,227,12.4,2.7
Estimate Households By Type Total Households Cohabiting Couple Household,751,243,9.0,2.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,106,86,1.3,1.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1354,269,16.2,2.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",43,48,0.5,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",981,237,11.7,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",361,137,4.3,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",2129,311,25.4,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",111,67,1.3,0.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1443,278,17.2,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",958,248,11.4,2.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1614,233,19.3,2.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,4009,383,47.9,3.6
Estimate Households By Type Total Households Average Household Size,2.42,0.10,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.02,0.15,(X),(X)
Estimate Relationship Population In Households,20242,944,20242,(X)
Estimate Relationship Population In Households Householder,8373,479,41.4,1.7
Estimate Relationship Population In Households Spouse,4186,325,20.7,1.5
Estimate Relationship Population In Households Unmarried Partner,733,241,3.6,1.2
Estimate Relationship Population In Households Child,4871,615,24.1,2.6
Estimate Relationship Population In Households Other Relatives,1319,377,6.5,1.9
Estimate Relationship Population In Households Other Nonrelatives,760,272,3.8,1.3
Estimate Marital Status Males 15 Years And Over,8588,594,8588,(X)
Estimate Marital Status Males 15 Years And Over Never Married,2489,476,29.0,4.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",4433,369,51.6,4.0
Estimate Marital Status Males 15 Years And Over Separated,106,91,1.2,1.1
Estimate Marital Status Males 15 Years And Over Widowed,466,181,5.4,2.1
Estimate Marital Status Males 15 Years And Over Divorced,1094,307,12.7,3.5
Estimate Marital Status Females 15 Years And Over,9359,519,9359,(X)
Estimate Marital Status Females 15 Years And Over Never Married,2233,352,23.9,3.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",4298,339,45.9,3.9
Estimate Marital Status Females 15 Years And Over Separated,28,33,0.3,0.4
Estimate Marital Status Females 15 Years And Over Widowed,785,211,8.4,2.2
Estimate Marital Status Females 15 Years And Over Divorced,2015,421,21.5,4.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,128,111,128,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",41,65,32.0,44.5
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",18,29,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",36,31,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,60,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",60,62,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",28,44,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,517,182,517,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,217,150,42.0,20.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,7.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,43,69,8.3,13.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,98,95,19.0,16.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,76,72,14.7,11.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,217,150,217,(X)
