,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,258,32,258,(X)
Estimate Households By Type Total Households Married-Couple Household,130,23,50.4,8.2
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,37,14,14.3,5.5
Estimate Households By Type Total Households Cohabiting Couple Household,26,17,10.1,6.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,4,5,1.6,2.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",42,19,16.3,6.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,14.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",30,16,11.6,5.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",9,6,3.5,2.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",60,20,23.3,7.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",11,12,4.3,4.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",32,13,12.4,5.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",16,8,6.2,3.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,57,19,22.1,6.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,121,24,46.9,8.4
Estimate Households By Type Total Households Average Household Size,2.39,0.26,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.86,0.34,(X),(X)
Estimate Relationship Population In Households,616,95,616,(X)
Estimate Relationship Population In Households Householder,258,32,41.9,4.4
Estimate Relationship Population In Households Spouse,128,22,20.8,3.4
Estimate Relationship Population In Households Unmarried Partner,28,16,4.5,2.5
Estimate Relationship Population In Households Child,165,59,26.8,6.7
Estimate Relationship Population In Households Other Relatives,15,13,2.4,2.0
Estimate Relationship Population In Households Other Nonrelatives,22,18,3.6,2.9
Estimate Marital Status Males 15 Years And Over,271,47,271,(X)
Estimate Marital Status Males 15 Years And Over Never Married,98,35,36.2,8.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",135,23,49.8,8.5
Estimate Marital Status Males 15 Years And Over Separated,0,13,0.0,13.7
Estimate Marital Status Males 15 Years And Over Widowed,9,6,3.3,2.3
Estimate Marital Status Males 15 Years And Over Divorced,29,15,10.7,5.3
Estimate Marital Status Females 15 Years And Over,253,37,253,(X)
Estimate Marital Status Females 15 Years And Over Never Married,78,25,30.8,7.3
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",126,21,49.8,7.9
Estimate Marital Status Females 15 Years And Over Separated,3,4,1.2,1.5
Estimate Marital Status Females 15 Years And Over Widowed,11,10,4.3,3.6
Estimate Marital Status Females 15 Years And Over Divorced,35,12,13.8,4.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,6,8,6,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,100.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,393,(X),(X)
