,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2610,231,2610,(X)
Estimate Households By Type Total Households Married-Couple Household,1632,236,62.5,6.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,577,117,22.1,5.0
Estimate Households By Type Total Households Cohabiting Couple Household,166,92,6.4,3.5
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,57,48,2.2,1.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",221,92,8.5,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",21,34,0.8,1.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",155,72,5.9,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",60,47,2.3,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",591,154,22.6,5.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",152,87,5.8,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",318,119,12.2,4.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",182,81,7.0,3.2
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,839,129,32.1,5.8
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,954,191,36.6,6.2
Estimate Households By Type Total Households Average Household Size,2.49,0.15,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.83,0.20,(X),(X)
Estimate Relationship Population In Households,6501,474,6501,(X)
Estimate Relationship Population In Households Householder,2610,231,40.1,2.3
Estimate Relationship Population In Households Spouse,1586,209,24.4,2.7
Estimate Relationship Population In Households Unmarried Partner,164,90,2.5,1.4
Estimate Relationship Population In Households Child,1871,275,28.8,3.6
Estimate Relationship Population In Households Other Relatives,257,123,4.0,1.9
Estimate Relationship Population In Households Other Nonrelatives,13,14,0.2,0.2
Estimate Marital Status Males 15 Years And Over,2469,265,2469,(X)
Estimate Marital Status Males 15 Years And Over Never Married,553,155,22.4,5.5
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1631,213,66.1,6.1
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.6
Estimate Marital Status Males 15 Years And Over Widowed,45,43,1.8,1.7
Estimate Marital Status Males 15 Years And Over Divorced,240,106,9.7,4.1
Estimate Marital Status Females 15 Years And Over,2845,273,2845,(X)
Estimate Marital Status Females 15 Years And Over Never Married,496,170,17.4,5.2
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1697,231,59.6,7.5
Estimate Marital Status Females 15 Years And Over Separated,15,14,0.5,0.5
Estimate Marital Status Females 15 Years And Over Widowed,185,88,6.5,3.1
Estimate Marital Status Females 15 Years And Over Divorced,452,151,15.9,4.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,41,50,41,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",33,50,80.5,53.8
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",46,69,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",29,35,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,222,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",27,52,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",34,52,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,55,47,55,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,20,28,36.4,42.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,44.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,20,28,36.4,42.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,44.4
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,44.4
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,20,28,20,(X)
