,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,11903,449,11903,(X)
Estimate Households By Type Total Households Married-Couple Household,6916,358,58.1,3.1
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,2270,224,19.1,2.0
Estimate Households By Type Total Households Cohabiting Couple Household,588,131,4.9,1.1
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,114,67,1.0,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",1254,255,10.5,2.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",86,77,0.7,0.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",789,232,6.6,1.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",336,155,2.8,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",3145,414,26.4,3.0
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",372,143,3.1,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",2114,417,17.8,3.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",1057,249,8.9,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,3158,249,26.5,2.5
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,3935,437,33.1,3.1
Estimate Households By Type Total Households Average Household Size,2.55,0.09,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.07,0.11,(X),(X)
Estimate Relationship Population In Households,30296,309,30296,(X)
Estimate Relationship Population In Households Householder,11903,449,39.3,1.4
Estimate Relationship Population In Households Spouse,6866,355,22.7,1.1
Estimate Relationship Population In Households Unmarried Partner,594,131,2.0,0.4
Estimate Relationship Population In Households Child,8417,528,27.8,1.7
Estimate Relationship Population In Households Other Relatives,1999,423,6.6,1.4
Estimate Relationship Population In Households Other Nonrelatives,517,239,1.7,0.8
Estimate Marital Status Males 15 Years And Over,12193,440,12193,(X)
Estimate Marital Status Males 15 Years And Over Never Married,3928,478,32.2,3.3
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",7218,383,59.2,3.3
Estimate Marital Status Males 15 Years And Over Separated,94,65,0.8,0.5
Estimate Marital Status Males 15 Years And Over Widowed,352,135,2.9,1.1
Estimate Marital Status Males 15 Years And Over Divorced,601,192,4.9,1.6
Estimate Marital Status Females 15 Years And Over,14140,465,14140,(X)
Estimate Marital Status Females 15 Years And Over Never Married,3652,481,25.8,3.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",7286,386,51.5,2.8
Estimate Marital Status Females 15 Years And Over Separated,128,84,0.9,0.6
Estimate Marital Status Females 15 Years And Over Widowed,1445,363,10.2,2.5
Estimate Marital Status Females 15 Years And Over Divorced,1629,256,11.5,1.8
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,298,140,298,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",11,12,3.7,4.2
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",3,4,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",44,21,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,50,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",65,36,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",36,26,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,586,282,586,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,20,23,3.4,4.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,28,0.0,6.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,11,18,1.9,3.3
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,28,0.0,6.6
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,9,14,1.5,2.5
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,20,23,20,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,9,14,45.0,55.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,11,18,55.0,55.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,5963,615,5963,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",401,153,6.7,2.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,422,199,7.1,3.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),2349,363,39.4,6.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1519,506,25.5,7.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1272,286,21.3,4.4
Estimate Educational Attainment Population 25 Years And Over,23205,598,23205,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,361,197,1.6,0.8
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",814,246,3.5,1.1
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),6847,617,29.5,2.7
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",3735,450,16.1,1.9
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,1953,331,8.4,1.5
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,5517,628,23.8,2.5
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,3978,491,17.1,2.0
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,22030,677,94.9,1.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,9495,826,40.9,3.1
Estimate Veteran Status Civilian Population 18 Years And Over,25399,451,25399,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,1666,337,6.6,1.3
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,30574,286,30574,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,3010,441,9.8,1.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,5531,417,5531,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,279,132,5.0,2.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,19615,669,19615,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,1374,306,7.0,1.6
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,5428,590,5428,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,1357,287,25.0,4.3
