,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,835,128,835,(X)
Estimate Households By Type Total Households Married-Couple Household,468,75,56.0,9.4
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,102,34,12.2,4.4
Estimate Households By Type Total Households Cohabiting Couple Household,85,38,10.2,4.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,22,20,2.6,2.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",202,105,24.2,10.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",13,14,1.6,1.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",89,38,10.7,4.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",49,25,5.9,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",80,35,9.6,4.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",20,29,2.4,3.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",39,24,4.7,2.9
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",32,20,3.8,2.4
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,196,41,23.5,5.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,371,123,44.4,10.0
Estimate Households By Type Total Households Average Household Size,2.44,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.65,0.24,(X),(X)
Estimate Relationship Population In Households,2040,235,2040,(X)
Estimate Relationship Population In Households Householder,835,128,40.9,3.3
Estimate Relationship Population In Households Spouse,482,82,23.6,3.6
Estimate Relationship Population In Households Unmarried Partner,81,37,4.0,1.8
Estimate Relationship Population In Households Child,401,75,19.7,3.6
Estimate Relationship Population In Households Other Relatives,167,103,8.2,4.6
Estimate Relationship Population In Households Other Nonrelatives,74,45,3.6,2.3
Estimate Marital Status Males 15 Years And Over,916,130,916,(X)
Estimate Marital Status Males 15 Years And Over Never Married,315,117,34.4,9.7
