,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,13847,669,13847,(X)
Estimate Households By Type Total Households Married-Couple Household,3087,371,22.3,2.8
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,800,267,5.8,1.9
Estimate Households By Type Total Households Cohabiting Couple Household,1351,253,9.8,1.8
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,37,35,0.3,0.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",4255,571,30.7,3.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",281,111,2.0,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",3245,565,23.4,3.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",596,221,4.3,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",5154,552,37.2,3.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",768,199,5.5,1.4
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",3292,500,23.8,3.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",781,226,5.6,1.6
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1955,322,14.1,2.3
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2729,396,19.7,2.8
Estimate Households By Type Total Households Average Household Size,1.84,0.08,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.73,0.12,(X),(X)
Estimate Relationship Population In Households,25498,1347,25498,(X)
Estimate Relationship Population In Households Householder,13847,669,54.3,2.3
Estimate Relationship Population In Households Spouse,3107,409,12.2,1.4
Estimate Relationship Population In Households Unmarried Partner,1305,247,5.1,1.0
Estimate Relationship Population In Households Child,4178,566,16.4,1.9
Estimate Relationship Population In Households Other Relatives,1322,406,5.2,1.5
Estimate Relationship Population In Households Other Nonrelatives,1739,400,6.8,1.4
Estimate Marital Status Males 15 Years And Over,12532,843,12532,(X)
Estimate Marital Status Males 15 Years And Over Never Married,7367,705,58.8,3.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3599,456,28.7,3.6
Estimate Marital Status Males 15 Years And Over Separated,361,155,2.9,1.2
Estimate Marital Status Males 15 Years And Over Widowed,129,88,1.0,0.7
Estimate Marital Status Males 15 Years And Over Divorced,1076,296,8.6,2.2
Estimate Marital Status Females 15 Years And Over,12595,953,12595,(X)
Estimate Marital Status Females 15 Years And Over Never Married,6577,723,52.2,4.0
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3780,533,30.0,3.6
Estimate Marital Status Females 15 Years And Over Separated,444,201,3.5,1.6
Estimate Marital Status Females 15 Years And Over Widowed,744,233,5.9,1.7
Estimate Marital Status Females 15 Years And Over Divorced,1050,278,8.3,2.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,364,180,364,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",208,155,57.1,22.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",35,25,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",46,22,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,78,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",52,33,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",43,28,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,391,326,391,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,32,31,8.2,12.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,25,0.0,9.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,4,7,1.0,2.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,25,0.0,9.7
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,28,31,7.2,11.4
