,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,704,90,704,(X)
Estimate Households By Type Total Households Married-Couple Household,346,61,49.1,8.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,68,25,9.7,3.6
Estimate Households By Type Total Households Cohabiting Couple Household,103,42,14.6,5.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,16,21,2.3,3.0
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",159,72,22.6,8.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",0,13,0.0,5.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",111,60,15.8,7.9
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",51,48,7.2,6.5
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",96,31,13.6,4.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",19,11,2.7,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",66,26,9.4,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",21,11,3.0,1.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,109,33,15.5,4.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,288,74,40.9,8.7
Estimate Households By Type Total Households Average Household Size,2.19,0.20,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.51,0.22,(X),(X)
Estimate Relationship Population In Households,1539,189,1539,(X)
Estimate Relationship Population In Households Householder,704,90,45.7,4.1
Estimate Relationship Population In Households Spouse,324,52,21.1,3.0
Estimate Relationship Population In Households Unmarried Partner,108,51,7.0,2.8
Estimate Relationship Population In Households Child,309,76,20.1,3.6
Estimate Relationship Population In Households Other Relatives,36,24,2.3,1.5
Estimate Relationship Population In Households Other Nonrelatives,58,41,3.8,2.6
Estimate Marital Status Males 15 Years And Over,761,110,761,(X)
Estimate Marital Status Males 15 Years And Over Never Married,238,73,31.3,7.1
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",348,53,45.7,7.8
Estimate Marital Status Males 15 Years And Over Separated,3,4,0.4,0.6
Estimate Marital Status Males 15 Years And Over Widowed,36,27,4.7,3.3
Estimate Marital Status Males 15 Years And Over Divorced,136,73,17.9,8.8
Estimate Marital Status Females 15 Years And Over,643,86,643,(X)
Estimate Marital Status Females 15 Years And Over Never Married,175,44,27.2,6.1
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",337,62,52.4,7.7
Estimate Marital Status Females 15 Years And Over Separated,3,4,0.5,0.6
Estimate Marital Status Females 15 Years And Over Widowed,26,16,4.0,2.3
Estimate Marital Status Females 15 Years And Over Divorced,102,45,15.9,6.1
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,15,17,15,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,13,0.0,84.9
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,241,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",62,65,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,611,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",185,176,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",0,258,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,8,7,8,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,5,7,62.5,62.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,13,0.0,100.0
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,5,7,62.5,62.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,5,7,5,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,3,4,60.0,39.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,5,7,100.0,100.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,203,65,203,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",15,14,7.4,7.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,0,13,0.0,17.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),87,51,42.9,16.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),47,22,23.2,10.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,54,26,26.6,12.1
Estimate Educational Attainment Population 25 Years And Over,1296,154,1296,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,12,16,0.9,1.2
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",21,21,1.6,1.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),322,84,24.8,5.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",157,55,12.1,3.8
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,150,63,11.6,4.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,300,67,23.1,4.6
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,334,78,25.8,5.6
Estimate Educational Attainment Population 25 Years And Over High School Graduate Or Higher,1263,152,97.5,2.0
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree Or Higher,634,100,48.9,6.3
Estimate Veteran Status Civilian Population 18 Years And Over,1376,161,1376,(X)
Estimate Veteran Status Civilian Population 18 Years And Over Civilian Veterans,125,57,9.1,4.1
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population,1542,188,1542,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Total Civilian Noninstitutionalized Population With A Disability,223,59,14.5,3.4
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years,166,61,166,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population Under 18 Years With A Disability,14,15,8.4,8.9
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years,992,152,992,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 18 To 64 Years With A Disability,122,63,12.3,5.5
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over,384,89,384,(X)
Estimate Disability Status Of The Civilian Noninstitutionalized Population 65 Years And Over With A Disability,87,46,22.7,9.8
Estimate Residence 1 Year Ago Population 1 Year And Over,1522,183,1522,(X)
Estimate Residence 1 Year Ago Population 1 Year And Over Same House,1420,192,93.3,3.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad),102,54,6.7,3.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S.,99,54,6.5,3.7
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Same County,20,16,1.3,1.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County,79,52,5.2,3.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Same State,29,23,1.9,1.5
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Different House In The U.S. Different County Different State,50,45,3.3,3.1
Estimate Residence 1 Year Ago Population 1 Year And Over Different House (In The U.S. Or Abroad) Abroad,3,4,0.2,0.3
Estimate Place Of Birth Total Population,1542,188,1542,(X)
Estimate Place Of Birth Total Population Native,1478,191,95.8,2.5
Estimate Place Of Birth Total Population Native Born In United States,1460,189,94.7,2.8
Estimate Place Of Birth Total Population Native Born In United States State Of Residence,900,155,58.4,5.5
Estimate Place Of Birth Total Population Native Born In United States Different State,560,93,36.3,5.0
"Estimate Place Of Birth Total Population Native Born In Puerto Rico, U.S. Island Areas, Or Born Abroad To American Parent(S)",18,13,1.2,0.8
Estimate Place Of Birth Total Population Foreign Born,64,38,4.2,2.5
