,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,3064,404,3064,(X)
Estimate Households By Type Total Households Married-Couple Household,1647,361,53.8,7.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,306,135,10.0,4.3
Estimate Households By Type Total Households Cohabiting Couple Household,366,175,11.9,5.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,72,78,2.3,2.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",415,174,13.5,5.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",105,108,3.4,3.5
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",203,108,6.6,3.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",73,53,2.4,1.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",636,181,20.8,5.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",30,39,1.0,1.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",426,143,13.9,4.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",252,122,8.2,4.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,529,138,17.3,4.7
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1117,231,36.5,7.5
Estimate Households By Type Total Households Average Household Size,2.37,0.14,(X),(X)
Estimate Households By Type Total Households Average Family Size,2.78,0.20,(X),(X)
Estimate Relationship Population In Households,7276,878,7276,(X)
Estimate Relationship Population In Households Householder,3064,404,42.1,2.5
Estimate Relationship Population In Households Spouse,1640,347,22.5,3.2
Estimate Relationship Population In Households Unmarried Partner,308,140,4.2,1.8
Estimate Relationship Population In Households Child,1870,348,25.7,4.5
Estimate Relationship Population In Households Other Relatives,234,148,3.2,2.0
Estimate Relationship Population In Households Other Nonrelatives,160,134,2.2,1.8
Estimate Marital Status Males 15 Years And Over,3301,454,3301,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1065,283,32.3,6.9
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",1712,355,51.9,7.9
Estimate Marital Status Males 15 Years And Over Separated,60,56,1.8,1.7
Estimate Marital Status Males 15 Years And Over Widowed,54,53,1.6,1.6
Estimate Marital Status Males 15 Years And Over Divorced,410,177,12.4,5.3
Estimate Marital Status Females 15 Years And Over,3320,441,3320,(X)
Estimate Marital Status Females 15 Years And Over Never Married,753,203,22.7,5.4
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",1649,356,49.7,7.4
Estimate Marital Status Females 15 Years And Over Separated,96,117,2.9,3.5
Estimate Marital Status Females 15 Years And Over Widowed,283,120,8.5,3.6
Estimate Marital Status Females 15 Years And Over Divorced,539,200,16.2,5.7
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,49,65,49,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,19,0.0,47.0
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,48,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",38,52,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,122,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",0,109,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",78,102,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,112,111,112,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,19,0.0,29.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,29.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,19,0.0,29.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,29.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,29.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,19,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,19,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,19,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,1186,400,1186,(X)
