,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,5354,220,5354,(X)
Estimate Households By Type Total Households Married-Couple Household,3559,211,66.5,4.9
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1578,160,29.5,3.5
Estimate Households By Type Total Households Cohabiting Couple Household,210,108,3.9,2.0
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,46,43,0.9,0.8
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",635,231,11.9,4.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",17,19,0.3,0.3
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",459,199,8.6,3.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",241,113,4.5,2.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",950,287,17.7,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",106,57,2.0,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",508,202,9.5,3.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",308,119,5.8,2.1
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1783,153,33.3,3.4
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,1752,235,32.7,3.7
Estimate Households By Type Total Households Average Household Size,2.68,0.11,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.05,0.11,(X),(X)
Estimate Relationship Population In Households,14327,271,14327,(X)
Estimate Relationship Population In Households Householder,5354,220,37.4,1.5
Estimate Relationship Population In Households Spouse,3531,212,24.6,1.5
Estimate Relationship Population In Households Unmarried Partner,216,107,1.5,0.7
Estimate Relationship Population In Households Child,4838,294,33.8,1.8
Estimate Relationship Population In Households Other Relatives,241,99,1.7,0.7
Estimate Relationship Population In Households Other Nonrelatives,147,111,1.0,0.8
Estimate Marital Status Males 15 Years And Over,5833,287,5833,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1505,245,25.8,3.7
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3685,228,63.2,4.5
Estimate Marital Status Males 15 Years And Over Separated,10,15,0.2,0.3
Estimate Marital Status Males 15 Years And Over Widowed,124,59,2.1,1.0
Estimate Marital Status Males 15 Years And Over Divorced,509,268,8.7,4.5
Estimate Marital Status Females 15 Years And Over,5864,293,5864,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1259,242,21.5,3.8
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3604,205,61.5,4.7
Estimate Marital Status Females 15 Years And Over Separated,92,75,1.6,1.2
Estimate Marital Status Females 15 Years And Over Widowed,530,234,9.0,3.8
Estimate Marital Status Females 15 Years And Over Divorced,379,118,6.5,1.9
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,80,54,80,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,36.7
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,30,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",26,18,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,75,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",59,53,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",15,15,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,90,74,90,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,44,57,48.9,42.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,21,0.0,34.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,34.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,44,57,48.9,42.9
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,34.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,44,57,44,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,26,30,59.1,24.3
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,44,57,100.0,49.6
Estimate School Enrollment Population 3 Years And Over Enrolled In School,3835,359,3835,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",397,103,10.4,2.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,205,93,5.3,2.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1654,194,43.1,4.3
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),926,203,24.1,4.4
