,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,6015,339,6015,(X)
Estimate Households By Type Total Households Married-Couple Household,3792,206,63.0,5.5
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1715,267,28.5,5.3
Estimate Households By Type Total Households Cohabiting Couple Household,164,82,2.7,1.4
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,4,6,0.1,0.1
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",603,179,10.0,2.7
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",32,38,0.5,0.6
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",451,137,7.5,2.2
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",235,75,3.9,1.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",1456,376,24.2,5.3
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",219,98,3.6,1.6
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",1035,348,17.2,5.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",872,314,14.5,4.7
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,2036,238,33.8,4.9
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,2486,368,41.3,4.6
Estimate Households By Type Total Households Average Household Size,2.59,0.14,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.14,0.11,(X),(X)
Estimate Relationship Population In Households,15580,231,15580,(X)
Estimate Relationship Population In Households Householder,6015,339,38.6,2.0
Estimate Relationship Population In Households Spouse,3693,234,23.7,1.5
Estimate Relationship Population In Households Unmarried Partner,158,82,1.0,0.5
Estimate Relationship Population In Households Child,5177,286,33.2,1.8
Estimate Relationship Population In Households Other Relatives,402,212,2.6,1.4
Estimate Relationship Population In Households Other Nonrelatives,135,83,0.9,0.5
Estimate Marital Status Males 15 Years And Over,5964,342,5964,(X)
Estimate Marital Status Males 15 Years And Over Never Married,1436,265,24.1,3.6
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",3963,208,66.4,4.2
Estimate Marital Status Males 15 Years And Over Separated,26,29,0.4,0.5
Estimate Marital Status Males 15 Years And Over Widowed,158,66,2.6,1.1
Estimate Marital Status Males 15 Years And Over Divorced,381,151,6.4,2.4
Estimate Marital Status Females 15 Years And Over,6918,392,6918,(X)
Estimate Marital Status Females 15 Years And Over Never Married,1413,292,20.4,3.6
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",3817,233,55.2,5.2
Estimate Marital Status Females 15 Years And Over Separated,58,49,0.8,0.7
Estimate Marital Status Females 15 Years And Over Widowed,869,182,12.6,2.4
Estimate Marital Status Females 15 Years And Over Divorced,761,311,11.0,4.2
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,165,130,165,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,21,0.0,21.3
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,29,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",53,42,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,75,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",110,111,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",39,47,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,135,83,135,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,18,29,13.3,20.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,18,29,13.3,20.5
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,21,0.0,25.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,21,0.0,25.2
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,21,0.0,25.2
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,18,29,18,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,9,14,50.0,6.9
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,18,29,100.0,77.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School,4364,335,4364,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",227,106,5.2,2.5
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,280,100,6.4,2.4
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1837,286,42.1,5.2
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),1000,231,22.9,4.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,1020,209,23.4,4.4
Estimate Educational Attainment Population 25 Years And Over,11167,375,11167,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,115,91,1.0,0.8
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",253,101,2.3,0.9
