,Estimate,Margin of Error,Percent,Percent Margin of Error
Estimate Households By Type Total Households,2905,139,2905,(X)
Estimate Households By Type Total Households Married-Couple Household,2451,149,84.4,5.7
Estimate Households By Type Total Households Married-Couple Household With Children Of The Householder Under 18 Years,1037,153,35.7,5.7
Estimate Households By Type Total Households Cohabiting Couple Household,41,47,1.4,1.6
Estimate Households By Type Total Households Cohabiting Couple Household With Children Of The Householder Under 18 Years,0,19,0.0,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present",226,104,7.8,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",24,41,0.8,1.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone",187,103,6.4,3.4
"Estimate Households By Type Total Households Male Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",105,79,3.6,2.7
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present",187,124,6.4,4.2
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present With Children Of The Householder Under 18 Years",22,32,0.8,1.1
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone",129,112,4.4,3.8
"Estimate Households By Type Total Households Female Householder, No Spouse/Partner Present Householder Living Alone 65 Years And Over",53,59,1.8,2.0
Estimate Households By Type Total Households Households With One Or More People Under 18 Years,1101,151,37.9,5.6
Estimate Households By Type Total Households Households With One Or More People 65 Years And Over,957,182,32.9,5.9
Estimate Households By Type Total Households Average Household Size,2.85,0.13,(X),(X)
Estimate Households By Type Total Households Average Family Size,3.08,0.14,(X),(X)
Estimate Relationship Population In Households,8265,50,8265,(X)
Estimate Relationship Population In Households Householder,2905,139,35.1,1.7
Estimate Relationship Population In Households Spouse,2408,151,29.1,1.8
Estimate Relationship Population In Households Unmarried Partner,54,61,0.7,0.7
Estimate Relationship Population In Households Child,2621,273,31.7,3.3
Estimate Relationship Population In Households Other Relatives,241,174,2.9,2.1
Estimate Relationship Population In Households Other Nonrelatives,36,44,0.4,0.5
Estimate Marital Status Males 15 Years And Over,3412,184,3412,(X)
Estimate Marital Status Males 15 Years And Over Never Married,699,198,20.5,5.4
"Estimate Marital Status Males 15 Years And Over Now Married, Except Separated",2586,187,75.8,5.6
Estimate Marital Status Males 15 Years And Over Separated,0,19,0.0,1.2
Estimate Marital Status Males 15 Years And Over Widowed,50,51,1.5,1.5
Estimate Marital Status Males 15 Years And Over Divorced,77,71,2.3,2.1
Estimate Marital Status Females 15 Years And Over,3366,237,3366,(X)
Estimate Marital Status Females 15 Years And Over Never Married,744,214,22.1,5.7
"Estimate Marital Status Females 15 Years And Over Now Married, Except Separated",2354,154,69.9,5.7
Estimate Marital Status Females 15 Years And Over Separated,0,19,0.0,1.2
Estimate Marital Status Females 15 Years And Over Widowed,133,113,4.0,3.2
Estimate Marital Status Females 15 Years And Over Divorced,135,90,4.0,2.6
Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months,61,64,61,(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married)",0,19,0.0,42.1
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Unmarried Women (Widowed, Divorced, And Never Married) Per 1,000 Unmarried Women",0,53,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 50 Years Old",37,39,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 15 To 19 Years Old",0,115,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 20 To 34 Years Old",55,89,(X),(X)
"Estimate Fertility Number Of Women 15 To 50 Years Old Who Had A Birth In The Past 12 Months Per 1,000 Women 35 To 50 Years Old",42,54,(X),(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years,64,63,64,(X)
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Grandparents Responsible For Grandchildren,0,19,0.0,41.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren Less Than 1 Year,0,19,0.0,41.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 1 Or 2 Years,0,19,0.0,41.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 3 Or 4 Years,0,19,0.0,41.1
Estimate Grandparents Number Of Grandparents Living With Own Grandchildren Under 18 Years Years Responsible For Grandchildren 5 Or More Years,0,19,0.0,41.1
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years,0,19,0,(X)
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Female,0,19,-666666666.0,-222222222.0
Estimate Grandparents Number Of Grandparents Responsible For Own Grandchildren Under 18 Years Who Are Married,0,19,-666666666.0,-222222222.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School,2224,277,2224,(X)
"Estimate School Enrollment Population 3 Years And Over Enrolled In School Nursery School, Preschool",52,46,2.3,2.0
Estimate School Enrollment Population 3 Years And Over Enrolled In School Kindergarten,32,41,1.4,1.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School Elementary School (Grades 1-8),1035,252,46.5,8.8
Estimate School Enrollment Population 3 Years And Over Enrolled In School High School (Grades 9-12),739,224,33.2,8.7
Estimate School Enrollment Population 3 Years And Over Enrolled In School College Or Graduate School,366,113,16.5,5.6
Estimate Educational Attainment Population 25 Years And Over,5853,279,5853,(X)
Estimate Educational Attainment Population 25 Years And Over Less Than 9Th Grade,23,40,0.4,0.7
"Estimate Educational Attainment Population 25 Years And Over 9Th To 12Th Grade, No Diploma",134,118,2.3,2.0
Estimate Educational Attainment Population 25 Years And Over High School Graduate (Includes Equivalency),656,276,11.2,4.4
"Estimate Educational Attainment Population 25 Years And Over Some College, No Degree",613,202,10.5,3.6
Estimate Educational Attainment Population 25 Years And Over Associate'S Degree,422,151,7.2,2.6
Estimate Educational Attainment Population 25 Years And Over Bachelor'S Degree,2371,353,40.5,5.6
Estimate Educational Attainment Population 25 Years And Over Graduate Or Professional Degree,1634,283,27.9,4.9
